Attempt Regex,DeepSeek Output
a*(bb)*b+a*,"positive example:[bbba, aab, aabaaa],negative example:[bbbab, aa, babaa, baaab, aababbbab]"
a*(b*aa)*,"positive example:[baaaa, aa, , bbbaa, aabaaaa, baabaa, baabbaa],negative example:[baba, baabb, baaaaa, baaa, baaab, baaba, aabbbabbaabb, ba]"
1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*,"positive example:[11, , 010101010101110, 11011100010001010111000101000, 010101010101, 01010101010, 010101010001, 0101110, 010, 110, 010101, 0101, 0101010101010001, 0001, 01010101010101110, 0101010110, 0101010001, 010101110],negative example:[0110101010111010101, 0110101010101010001, 0110101010101011101, 0110100010101010101, 0110111010101010101, 01101010101010101, 000101010101010101, 0110101010101000101, 1101100010101110001000111010100, 0110101110101010101, 1101100010101110001000111010111, 0110101000101010101, 0101010101010101]"
(a|b)*b*bb*(a|b)*,"positive example:[aabaa, aabbb], negative example:[aa]"
((01)*(10)*)*,"positive example:[, 01, 0101, 0110, 1001, 1010, 10],negative example:[000, 011, 100, 111, 001, 101, 1100110, 010]"
(0*1(0*10*110*)+)|0*,"positive example:[00, , 1111, 100111, 1111111, 0011001100111, 11111011],negative example:[111, 001, 1001, 11111, 111111000, 001100110010, 11111101011]"
(0*1+)*,"positive example:[011, , 000101, (0*1+)*, 1101], negative example:[010001110]"
(b*ab*ab*)*,"positive example:[baba, , bbbaa, baa, aaaba, abbaaa, aabbaa],negative example:[aaa, baaa, bbba, ab, b, babbabbaaa, aaab]"
(a|abb+)*,"positive example:[aa, , abbbbaaabba, abbabba, abbbbaaabb, abba],negative example:[baabba, bb, aaba, abbabab, abbabaa, abbaaab, abbbbaba]"
(b*bb*)|a,"positive example:[bbb], negative example:[aaa, , bbba, bab, aab, baa, abbabb, abaa]"
a(a)*|(a*b*),"positive example:[aa, , aabbb, a(a)*|(a*b*)],negative example:[babb, aabbbaabaa, ba]"
a*|a*(baaa)a*,"positive example:[aa, , aabaaaaa],negative example:[baba, baabb, baaab, babb, baaba, aab, baa, baaaaaba, baaaaabb, aabbaa, aabbbb, ba]"
((a|b)a*b(a(a|b)a*b)*)*,"positive example:[, bbaaabab, bbabaabab, ababb, aaabbbab, abaab, baabbbab, abbabab, abbb, bbabbbab, ababbbab, bbbb, bbabab, bbaab, bbabb, bbbabab, ababab, abaaabab, ababaabab],negative example:[abb, bbb, bbabbaa, abaaa, abbbb, ababbbabaa, bbabaa, abba, baababa, bbaabb, bbbbb, bbba, bbaaa, bbabbbabaa, aaababa, abaabb, ababaa, ababbaa]"
(a*b*|a*a*|b*b*|b*a*)(a{3}),"positive example:[baaaaa, aaa, bbaaa, abaaa, aabaaa, aabbaaa, aaabaaa, aaabbaaa, aaaaabaaa, abbbaaa],negative example:[, baa, aaaba, aaabb, aabb, baabb, bbba, babbb, baaba, abaaba, abaabb, ababa, abaaaaa, aa, baaabb, baaaba, a, b, abbba, ababb, aaaaab, abaa, baaaaab, babaa, aaba, abaaabb]"
ab|aaa*,"positive example:[ab, aaaa],negative example:[, bb, a, aaba, abaaa, abbbb, aaaab, aabb, ba]"
b+(a*|bb*),"positive example:[bbbaaa, bbb, ba],negative example:[baba, bbbab, aa, , baaab, ab, babbbaab]"
(0*1)*,"positive example:[011, , 000101, 1101, (0*1)*],negative example:[00010, 11010, 0110]"
a*(b*bb*)a*,"positive example:[aabbbaaa, aabbb, ba],negative example:[bbbab, aa, babbb, bab, aabaaabaaba]"
1(0|1)*1|0(0|1)*0?,"positive example:[000, 011, 111101, 100101],negative example:[, 1100111010, 10]"
a*b(b+a)*ba*,"positive example:[bbbab, bbabbab, bbaba, aabbbbbabab, bbaaaa],negative example:[aabababb, bbaaaab, aa, baaa, bbbaa, bbbbba, bbaaba, bbabb, bbabbaa, bbabaab, bbbabbaa, bbaabb]"
(ba*)+b,"positive example:[bab, bbabbbaaab], negative example:[aaa, , bbaabbbaba, abbab, ba]"
a(a+b)+a(a+b)*,"positive example:[aabaabaaba, aababa, aabaaab, aabaabaaaab, aabaab, aabaabab, aabaababa, aaaababaab],negative example:[, aa, bb, aabaabaaaabb, a, aabba, aaaab, aabaa, aabbb, aabab, aabaabaabb, abaa, aabaababb, abbb, aabaabbb, aabababb, aabaabba, aabaaa, aababb, aabaabb, aabaabababb, aabaabaababb, ba]"
(111)*(1)*,"positive example:[11, 1111, 1111111, 1, 111111], negative example:[000, 1101101, 101, 1101, 1110111]"
(a)(a)*(b)*(a)*,"positive example:[aaa, aba, ab, aaabbbaaa],negative example:[, baaba, bbb, abbbaaabb, aaabab, ababa, abab]"
(a)*(aaa)*(aba)*(a+b)*,"positive example:[aaa, , ab, aaabaababab, aaabaaba, abaaab, abaaaaabab, ababaab],negative example:[abaababa, abb, bb, abaaa, aaabaaababbaa, abaaaa, aaabaaababbbb, abaabbb, abaabba, aaabaa, abaababb, ba]"
(ba*)*,"positive example: [, baa, bbb, (ba*)], negative example: [aaa, ababb]"
(a)*(b|aa)*(a)*(b|aa)*,"positive example:[babaab, aa, , babaa, baaa, aabbbaa, babbbaa, babaaaa, baab],negative example:[babaaa, baaaba, aabaaaba, babbbabbbab, babaaba, bbbabaaa, baababa, bababaa]"
(01)+(01)+,"positive example:[010101],negative example:[11, , 01, 01001, 0011001, 0101011, 000, 010110, 0, 010111, 010100, 01010, 0110, 0111, 10]"
(0(1+(0*1+)*)*0)*|0*,"positive example:[00, 000, , 010110, 010010, 01000, 01110, 01010],negative example:[010000, 011101, 001, 010101, 011100, 0101, 01011, 111001, 0001, 0100, 01001, 10]"
"(a|b)(a|b)a{2,}","positive example:[aaaaaa, bbaaaa],negative example:[aaa, aa, , bbaaaab, bba, bb, a, b, aaaaaab, aaabaa, bbabbb, bbaabb, bbbb, aaba, aaaaba]"
a*b*a{3},"positive example:[aaa, baaa, bbaaa, aabaaa, aabbaaa, abaaa, aaabaaa, aaaaabaaa, abbaaa, aaabbbaaa],negative example:[bb, , aa, a, abbba, ababb, aaabb, aaaaaba, aaab, abaa, aabb, aaba, abaaba, abaabb, ababa, abaaabbb, abaaaaaa, ba]"
(0|1)(0|1)(0|1)(0|1)*,"positive example:[11111, 00000],negative example:[00, 0, , 11, 1]"
(a|baa)*b,"positive example:[aabaaab, baab],negative example:[baabba, babbb, baaa, aaba, aababaaba, baabbb]"
bb(a|b)*b,"positive example:[bbbaabbbab, bbab],negative example:[aa, , baaaba, babb, ab, bbbaa, bbaaba, b, bbbbbaba]"
(a)*((b)+(aa)+)*(a)*,"positive example:[aabbbaabbaaa, baaaa, baaaaa, aa, , baaa, baaaabaaa, baabaaa],negative example:[aabaababaaba, bb, baaabb, baaaba, baababbb, baaaaaaba, baabbba, baaaaba, baaaab]"
(b)(aa+)*,"positive example:[baaaa, b],negative example:[aaa, bba, baba, baabb, , babb, bbb, ababb, baaaaba, baab, ba]"
(a+b)*aaa,"positive example:[abaaa, aaaaaabaaa, aabaaa, aaaabaaa, aaabaaa],negative example:[abb, aa, ab, aba, baa, bbb, aaaba, aaabb, aaaab, aaaaaa, aabb, aaba, aaaaba, aaaaaabb]"
"(a|b*a{2,})","positive example:[aaa, bbbaaa, baa],negative example:[abb, baba, , ab, baaab, babb, bbba, b, aaababbaa, baab]"
a*(b|bbb)+(a|bb)*,"positive example:[babbbb, babba, babb, aabbb, aabbbaaabb, ba],negative example:[aa, babbb, bab, aabbbabbb, babab, baaabaabbaa, babbab]"
a*(bb)*(a)*b*,"positive example:[aa, bba, , aabbb, bbabbb, bbaaab, bbbb],negative example:[bababb, baaa, bbba, bbaaaba, bbaaba, bbbbba, bbaba, aabbba, bbabba, bbabbbaa, bbabab]"
a(a|b)*aaa,"positive example:[aaaaaabbaaa, aabaaa, aabbaaa, aaaabaaa, aaabbaaa, aaabaaa, abbabaaa],negative example:[, ab, baa, bbb, aabaaaaabbb, aaaba, aaaaba, aaabb, aaaab, aabaa, aabb]"
((01+0)|(10+1))*,"positive example:[, 101010101, 101010, 10101110010, 101101, 10001],negative example:[010110, 001, 01, 010111, 011100, 01010, 0100, 010100010, 0101011, 0000110, 0101010]"
(a+b+)|(b+a+)a+a+a+,"positive example:[bbbaaaaaa, baaaa, ab, aaabbb],negative example:[, baaabb, baaaba, aba, a, b, baa, baaaaaabaa, aaaba, baaaaaabbb, baba, baabb, bbba, baaa, babb, baaba, abbbaa, abbbab, baaaab]"
((a*)+(b*)+(aa)+(a*)),"positive example:[aa, aabbbaaaa, baa, aaaabaa, abbaa, aabaa, abaa, bbaa],negative example:[abb, bb, , aba, a, aaaab, aabaab, aabaabbb, aababb, aabbba, aababa, aabaaaabaaba, ba]"
(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)*,"positive example: [, 0001010, 010010010, 1000101, 1011, 0101010, 010, 0, 010010, 01110, 0110, 010000111000, 11101], negative example: [0001111000010110011, 0110011, 01, 01001, 0101001, 011001010, 0101011, 0101000, 010110, 110, 1010001110, 010101, 011001, 010001, 010111, 010100, 01010100]"
"(a{1,})?b?(ba{2,})?","positive example:[aa, , baa, aab, aabbaaaa],negative example:[bba, bbaab, bbabb, bab, bbaba, aabbbaabba, bbaabb, aabb, bbbb, baab, bbaaaaba]"
((((a|b)a*b)*a)*)?,"positive example:[aa, , bbbba, bbaba, bbbaba, abaabbbaba, baabaa],negative example:[baabb, bbaab, ab, bbba, aab, bbababbbaaab, bbbb]"
a|ba|b+aaa,"positive example:[baaa, bbbbaaa, bbaaa, ba],negative example:[baaaaa, aa, , bb, baaabb, ab, b, baa, bbaaab, bbaaaa, baabb, babaa, bbaab, babbb, bbbba, bbabb, baaba, bbaba]"
1|(111)*|01,"positive example: [, 01, 1, 111111], negative example: [111100, 111101, 1111100, 1111101, 11111101, 110, 0, 100, 11111100, 101, 0101, 0011, 0110, 0111, 0100, 1111, 11111, 000010]"
(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(10)+,"positive example:[11, , 00101010, 000011000010, 0010010, 0101010, 010, 1011000101, 00110010, 0110, 0000, 0011001110, 001010, 001110, 001000],negative example:[0110011, 01100001, 000011, 001001, 011110110011, 01001, 0101001, 011010, 0101000, 0101011, 110, 010110, 0, 1010001110, 001, 010101, 011001001, 011001, 010001, 010111, 010100, 01010100]"
a*|baa*|a*baa*|baa*baa*,"positive example:[baba, , baa, abaaa, aaaba],negative example:[bba, ab, bab, b, bbb, abaaaba, ababb, aaabbabbaa, abbb, baab, abab]"
0*(1|1||1)0*,"positive example:[00|100, 10],negative example:[11, 00, 101, |10010, 00|000110, |01, 00|, |11]"
a*(bb*)*a*,"positive example:[aa, , aabbbaaa, aabbb, ba],negative example:[aabaaabbbaab, baba, bbbab, bab]"
a*(b+)(bb)*a*,"positive example:[bbba, aab, aabaaa],negative example:[aa, babbb, baaab, bab, aabbbababaa]"
(b*|ab+)*aa(a+b)*,"positive example:[baa, aaaab, abaaab, aaab],negative example:[aba, b, abaababaa, aaaba, aaabb, aabbb, aaaaaba]"
b(a+b)*b,"positive example:[bb, baabb, babb],negative example:[aaa, , bbba, baaaba, babbb, bab, ababb, bbbb, bbaa, bbab]"
a+(b*a*)+,"positive example:[aaa, abb, a+(b*a*)+],negative example:[, baaba, bbb]"
((b)*(aa)[a]*)*,"positive example:[aa, , baabbbaa, baaaabaa, bbaa, baabaa],negative example:[bb, aabaaaabbba, aabab, abbbab, abaa, ba]"
"[ab]*a{2,}","positive example:[aaaabaa, abbaa, aabaa, aabbaa, bbabaa, abaa],negative example:[abb, aba, aab, aaaaba, aabb, bbab]"
((((1*)?)|((11*)?))|((111*)?))*|0*,"positive example:[00, , 111],negative example:[011101, 101, 0100, 0001, 11100, 10]"
(1+0+1+)*|(0+1+0+)*|0*|1*,"positive example:[11, 00, , 0100100, 0100001110, 101101, 1000111101],negative example:[0100001, 01011, 01010, 101011, 101110, 1110100010, 00101, 010011101, 1011000110, 10]"
(a*|b*)(aaa)a*,"positive example:[bbaaaaa],negative example:[bba, bb, aa, aaba, aaaba, aaabb, aaaaab, bbabaa, bbabbb, aabb]"
(a+b+bab)*,"positive example: [, abbbbabaaabbab, abbab], negative example: [aaa, aaabb, abbabba, abbababab, abbbba, aaabbaaaa, aaabbaabb, abbabbb, aaab, abbababaa]"
0*1(11)*(0*|1(11)*),"positive example:[111, 1111, 1110, 001000],negative example:[110, 00, 1101, 1100, 1010, 11110, 0010111001, 10001, 11101]"
(((0|1)*(01)(0|1)*10(0|1))|((0|1)*(10)(0|1)*10(10)))*,"positive example:[011011100, , 0110101, 1101001011100, 11010100100, 0100100, 1101001011000100, 00010100, 011110100, 110001001110101, 1101100, 110101010, 11011100, 110100101100000100, 1101011100, 01101100, 0111101, 101100, 01100, 110101000100, 110100101100100, 1101001011001100, 1101000100, 01010100, 110101100, 1010101100],negative example:[10101000, 0111101001, 10101001, 0101000001, 101101001, 01111, 010100101011, 1010111, 1010110, 111, 011000, 011001, 0100, 10110, 01010010, 10111, 11101000, 1010101011, 10, 0110111, 10101011, 0110110, 101001, 0101001110110, 01010010111, 0, 001, 0110, 111010, 10101, 10001, 01101011, 010100011]"
(a|b)*(baa)b*,"positive example:[bbaabaa, bbaababaab, bbaaabbaab, bbaabbbaab, aababbaaaabaab],negative example:[bbaabaaaa, aababbaabaaabb, bbaababa, bbaabbba]"
0*(0*|1*)0*,"positive example:[00, , 001, 1110, 001000],negative example:[001000110011, 101, 1010, 11101]"
(1?|11?),"positive example:[11, , 1],negative example:[011, 100, 101, 00010, 1101, 1111, 1100, 1110]"
0*1+,"positive example:[0*1+, 00111],negative example:[00, 101, 001001100, 1110]"
(a)*(bb+a)*(b+a)*(a)*,"positive example:[baaaa, baba, babbaa, aa, , aabbbabaa],negative example:[baabb, baababbaa, babb, aabbbab, babab, baaaab]"
(a|b)*(b),"positive example:[baabbbab], negative example:[aaba, bbbaba, baa]"
(a*)b(a*|bb*),"positive example:[aab, aabaaa, bbbb],negative example:[bba, aa, babbb, baaab, aababaaba, bbbbab, bbaa]"
ba*b|a*ba,"positive example:[bb, aba, bab, aaaba, baab, baaaab, ba],negative example:[, aaa, ab, b, aaabba, baaaaba, abbb, abaa, bbaa, bbbb, bbabaabb, abab, baba, baabb, baaaa, bbba, babb]"
(0*)|(1|1|1)|(0*),"positive example:[000, ],negative example:[110, 01, 111, 100, 101, 00010100, 0111]"
(a+b)*(b+aaa),"positive example:[baaa, bbbaaa, abbaaa, aaababbaaa],negative example:[baaaaa, baba, abb, baaabb, ab, bbba, babb, baa, aaaba, baabaa, baabbb]"
0*1+|1*0*,"positive example:[000, , 01, 111, 000111, 111000, 10],negative example:[11100011011, 101, 011100, 0101, 00010, 10100, 010]"
(11*0*11*)*|(00*1*00*)*,"positive example:[11110111, 01110010, 000, , 101, 110110001, 1101, 1001, 00100, 01001100, 010000100, 010], negative example:[000101, 1010, 10110101, 001110100110, 10110100, 011, 110, 0, 1, 1011110, 0101, 10001100, 111010, 00100101, 001011, 00100001]"
(a*b*)(a*b*)aaa(a)*,"positive example:[baaaaa, aaa, babaaa, aabbabaaa, aaababaaa, ababaaa, baaabaaa, baaaaabbbaaaaa, aaaaababaaa, bbbabaaa, abbabaaa, baabaaa, aababaaa, baabbaaa, babbaaa],negative example:[bb, , aaaba, aaabaabb, aaabaaba, aaabbbabbbaaabaa, aabb, aaababaabb, aaababaaba, aaabaaabb, aaabaaaaaba, abb, aa, aba, a, aaababab, aaabaaab, aaaaab, aaabaa, aaabbbabbbaaabbb, aaabbbabbbaa, aaba, aaababa, aaababaaaaab, ba]"
b*(b*b*),"positive example:[bb, ],negative example:[bbaabbaa, ab]"
a*(b+)bb*,"positive example:[aabbbb], negative example:[bba, aa, bab, baa, aab, aabbbbaaabba, bbab]"
(b*aa(a+b)*)*,"positive example:[aa, , baaab, aaaabaa, aaabbaa, baabbbaa, aaabab, aaaabbaa, aaaaaa, aaaaab, bbaa, baabaa],negative example:[aababbaabb, bb, ab, aaabb, aaaaaaa, aaaabaaa, aaaaaba, aaaabb, aabaaaba, aabbba, aababa, aaaaba, ba]"
a|(a+b)|a|(a+b)*,"positive example:[, a, aab, aaaabab, abaab, abab],negative example:[aaa, baa, bbb, ababb, abbb, abba, aabb]"
(ab)+(aa|bb|ab|ba)*,"positive example:[abbbbb, abaaaa, abaa, abbb],negative example:[aaa, bb, , a, abaaa, abbbb, aabaabb, ba]"
(01(0|1)*10)*,"positive example:[01001010010, , 01110, 0110, 01100010],negative example:[000, 0, 100, 001, 011011, 01100001, 11011, 0110100111, 010]"
0*(1+1)*0*,"positive example:[00, , 0011, 11110, 0011000],negative example:[001, 101, 001001100, 11010, 110001, 11011, 11101]"
(b*a*aa+b*a*a+|b*),"positive example:[bb, aaa, , aaba, bbaabbbaaa, aaaba, aaaaaba, aaabba],negative example:[abb, bba, aba, bbaaaaabbbababaa, aaababbb, aaabaaab, aabab, aaabab, aaab, aabb, bbaa]"
a*|b*|(a|bab)*(b|aba)*,"positive example: [, babb, babaaa, bababbaba, babababb, bababa, bbb, babaaabbb, babababab, bababaaba, bbababbaba, bbabaaba], negative example: [bbabaa, bbabbb, bbaaaa, bbabba, bbaabb, baab, bbababba, babba, bbbaa, bababaab, baaa, bababaaa, babaaabababba, babababba, bababababbbaa]"
0*1+0*1*,"positive example:[101, 00111, 00111000111, 10],negative example:[00, 101110, 001110001011001, 1010, 10100]"
(a+b)*|(b+a)*,"positive example:[baba, bba, , aab, abab],negative example:[aa, bb, babaa, bbaaa, ababb, aabbb, abaabbabbaa, babbaab]"
0*1(0*1+)*,"positive example:[10011101, 0101, 011, 001001], negative example:[100111010, 1100, 000, 111]"
((a)|(ba(a)*)),"positive example:[baaa],negative example:[abb, baaabb, baba, bba, , aba, bab, b, aab, bbb, aaabbaa]"
(((a*)+b+(a*)+b+(a*))*)+b+(((a*)+b+(a*)+b+(a*))*),"positive example:[bb, aaabbb, ababbabb, abbb, abaaabaaab, abababbaaab, ababababba, abababababaaabab, ababbaaabab, abaaabaaabbbaa, ababababababb, abbaabab, ababababbb, ababbbb, ababababababaaabba, ababababababaaabbb, abababaaabab, ababb, abbbb, ababbbab, abaaabaaabbbbb, abababbaba, babab, abababbabb, ababbab, abababababa],negative example:[bba, , abb, a, aba, bab, abababa, ababbba, ababaaa, abbba, ababaaabba, abbaaba, aaab, bbaaa, abbbaba, baaababaaabaaa, abbbba, ababba, abaaab, abbbaaaba, bababab]"
((a)(b))*,"positive example:[, ab, ((a)(b))*, abab], negative example:[abb, baabba, bb, aaa, aba, aab]"
(a*ba*(bb)*a*)|(a*bba*(b)*a*),"positive example:[babbaa, babbbb, bb, babb, bbaab, bbbaaa, bbbbba, aabaaabbbb, aab, aabaaa],negative example:[aa, bbaabab, babbba, bab, baaabbb, bbbab, babaa, bbbabaa, babab, babbaab, babbbbab, aabbbbbaaabbbab, babbab]"
(b|aa)*,"positive example:[aa, , aab, (b|aa)*, aaaa, bbaa], negative example:[abb, aaa, aabab, abaabba, bbaaab]"
a*b(b|ab*b)*,"positive example:[bb, aababab],negative example:[baba, babba, aa, baaa, aabbbaba, baabbaab]"
(b*(aa)+)*,"positive example:[aa, baaaa, , bbbaa, aabaa],negative example:[baaa, babbb, bbba, ab, aab, aaab, bababaa]"
((0+1+0+)|(1+0+1+))*|0*|1*,"positive example: [, 010101000101011, 0101011010101, 01011101101000111010001, 1011, 0101011, 0101010111000, 0, 111, 01011101101000111010001100, 01011101101000111010001111, 010101101010, 01010111, 01010001, 10011, 01010110101001, 01010110101011, 01010110101000, 11101, 0101010100101, 01101011, 010101010, 000101011], negative example: [01010110101, 01, 10101010, 01010110100101110, 0001110111, 01010101010, 010101101001010, 0101010, 01010101001, 01010110100111010, 01010, 11100, 0001110111000110001001, 010101010001010, 0101010001, 010101110, 010101011, 10]"
(aa|ab|ba|bb)*aaaa*,"positive example:[abaaa, aaaaa, aaabaaa, aaaaabaaa, abbaaaa, aaaaaa, aaabbbaaa, abbbaaa, aaabbaaaa, baaaa, aabbbbaaa, bbaaa, aaaabbaaa, aaaabaaaa, aababaaaa],negative example:[abb, aa, bb, bba, ab, aba, baa, aaaba, aaabb, aaaaaabaa, aaaab, aabbb, aaaaaabba, aabab, aaaaaba, aaaabb, aaaaab, aaaaba, ba]"
(0*(1)*0(1))*,"positive example: [, 01, 000101, 10101, 01101, 10111101], negative example: [011, 00010, 10000, 10110, 1010, 111001101, 010]"
a(a+b)a(a+b)*,"positive example:[aaaaba, aabaab, aabaaaabab],negative example:[, aa, bb, a, aabba, aaaab, aabbb, abaa, aabaaaaba, abbb, aababb, aababa, aabaabb, ba]"
[b]*[a]{2},"positive example:[bbaa],negative example:[bba, bb, bbabbbaab, aba, aaba, aaab, aabb, aaaa]"
(ab+ba)(ab+ba)*(a+b)*,"positive example:[abbaaabaab, abbaabba, abbaabaaabab, abbaaaab, abbaabab, abbaaab, abbbaab, abbaaabab, abbaabbbba],negative example:[aaa, bb, , ab, a, aab, abbaa, abbb, abaa, abbaaabaa, abbaababb, abbaaabba, abbaabbabb, abab, abbaabbaba, abbaabbbbab, abbaaabbbaabb, abbaabaa, abbaaaaaba, ba, abbaaababb]"
(aa|ab|ba|bb)*(aaa)a*,"positive example:[abaaa, aaaaa, aaabaaa, aaaaabaaa, abbaaaa, aaaaaa, aaabbbaaa, abbbaaa, aaabbaaaa, baaaa, aabbbbaaa, bbaaa, aaaabbaaa, aaaabaaaa, aababaaaa],negative example:[abb, aa, bb, ab, aba, aaaba, aaabb, aaaabaa, aaaab, aabbb, aaaabba, aabab, aaaaaba, aaaaaaaba, aaaaab, ba]"
(b+(a+)(a+)a*)*,"positive example:[, baabbbaa, baaaabaa, bbaa, baabaa],negative example:[bb, aa, babaa, ab, baaba, baaaabbba, baab, babbbab]"
a*|baa*|a*baa*|abaa*baa*,"positive example:[, baaa, a, aaba, aaaaba, ababa, abaa], negative example:[bb, ab, abababa, bab, abababb, aab, abbaa, aaabb, abbbbab, ababaaab, ababba, ababbb, abaaab]"
(a+|b*a)*,"positive example:[, (a+|b*a)*, baabbbaba],negative example:[bbbab, aabab, baab]"
(a)*(baa)*((a)*(bbb)*)*,"positive example:[aa, , aabaaaaabbba, bbb, aabaa, baaabbbbbb, baabaaa, baaabbb, baabbb],negative example:[bba, aab, aabbbbaaabba, bbbbab, baababb, baababa, baaaabb, baabb, baaab, bbbbbaa, bbbbbab, bbbbbbaab, ba]"
(a|b)*aa,"positive example:[aaaabaa, abbaa, aabaa, aabbaa, bbabaa, abaa],negative example:[abb, aba, aaba, aaaab, aabb, bbab]"
(aa*bb*)*,"positive example:[, aab, abaabbbab],negative example:[baaba, bbb, aaaba, abbbaba, abaa]"
(a+bb*)*,"positive example: [, aab, abaabbbab], negative example: [aa, babaa, bbb, abaabbbaba]"
1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+|1+0+1+0+1+0+1+,"positive example: [, 101011101, 1011010001, 101111, 0001110111, 1011110000101, 10110011110, 01000010, 1011001, 111, 01010, 1011001101110001101000, 101101, 010101110, 101000, 10110011001, 10110011000, 101101011, 01001, 0100110, 000, 010000, 0100111, 1011010, 00011101, 11100010010111, 10101, 010100010, 1010100011, 10110011010, 10110111, 01001001, 101001001110, 01001000, 010, 010110, 01001010, 10110, 11100010, 101100100, 01000010111, 10100100001, 101, 10110110, 1010101, 1011001101110001101, 01010100, 0100001011100, 0100100101], negative example: [10110001010, 010011001110101, 101111001010, 101010, 01000010101, 010011001101010, 010010001010, 0100110101, 10110100010, 01001100110110101, 0101000111001, 01001100001010, 111000101110110, 0001, 101101110101, 010010101, 0100101001, 0111010101, 10, 1011010110, 01001100101000, 010011001010, 010011001101101111000101, 10101010, 0101110101, 0100110010000100111010, 1010001010, 010110101, 01001011101, 010101, 01001111001011101101, 101101010, 101001010, 01001001010, 1010100010, 10110110101, 01001100110100011, 01010101]"
(0*1|0*111+),"positive example:[001, 0011111],negative example:[00, 11, 101, 001000110, 1101, 1100, 11100, 111110, 11101]"
a*b+a*,"positive example:[bbba, aab, aabaaa],negative example:[bbbab, aa, babb, bab, aabaaabaabba]"
1*1*0*1*1*0,"positive example:[110, 01110, 00010, 11010],negative example:[011101, 11, 010100, 01011, 0001, 110100011, 01001]"
(0|1)*1(0|1)1*0*,"positive example:[11, 100110000100, 100111, 001001010],negative example:[00, 1011001, 1001100001, 11001, 100111101001, 00100101001]"
(aa|ab|ba|bb)*a|b*(aaa),"positive example:[aaa, bba, aba, baaaaabaa, baaaabbba, baabaaa, baabbba, baababa, baabbaa, babba, babaa, bbbaa, bbbaaa, baaabbbba, baaababaa],negative example:[bb, bbb, baaaaaba, ababb, aaaab, baaabab, baaabbb, baabb, bbaab, bbabb, babbabb, baaaabbb, baabab, baabaa, babaaab, ba]"
b*a(ab*a|b)*,"positive example:[bbaaa, aaba, b*a(ab*a|b)*, abbaa],negative example:[aab, abbaaa, bbaa]"
(((a*)*b)*b)*(b),"positive example:[abbbabbb, abbbaabbb, aaababbb, ababbb, abaabbb, abbbbbabbb, abbabbb],negative example:[babbaa, , baaaba, babbbbba, abaa, babbab, abab]"
0*0?|10+11*,"positive example:[000, , 10111, 10001],negative example:[110, 011, 1, 111100, 0001, 1000, 1010, 10101, 100011100, 010]"
a*b(a*ba*b)*a*,"positive example:[bbb, aabaabb, a*b(a*ba*b)*a*, bbab],negative example:[bb, bba, aabaabbb]"
(a*ba*(bb)*a*)|(a*bba*(b)*a*)|(ba*ba*ba*),"positive example:[bba, babbaa, b, bbb, ababb, abaaa, baaabbbb, abaaabbbb, abbbbba, abbb, aaab, abbaabaaa, babb, baaa, babaaaba, babab, ababba],negative example:[abbbaaab, aaa, , bababb, babbba, babaaa, abbbabb, abbbbbaba, abab, bbabab, bbbab, babaaabb, baaab, aaabaabaaaba, abbaabab, babbaab, abaabbb, abbbab, ababa, babbbbab, ababbab, bababab, abaababb, babbab]"
(a*|(bb)*)*b*,"positive example:[bba, , bbb, (a*|(bb)*)*b*, aabb], negative example:[baaaba, babb, bbba, bbaba, aabbba]"
a+(a|b)+a,"positive example:[aaba, ababaaabbba, aaabaaabbba, abba],negative example:[, a, baa, bbb, ababb, aaabb, aabbab, aaaaabab, abbbab, abaaabab]"
(a|b)*aab(a|b)*b,"positive example:[baabb, aabbaab, abaaaabaabab, aabbbbab, aabb],negative example:[aabbbbaba, aba, b, aab, abaaaa, abaaaabaaba, aabbaa]"
"[a-b]((ba{2,})?)","positive example:[a, b, abaaaa, bbaaaa],negative example:[, bbaaaab, bb, bba, ab, aba, ababb, aaabaa, abbb, aabb, abba, bbaabb, bbbb, babb, bbba, bbabb, bbaaba, bbaba, abaaba, abaabb, abaaaab, ababa, baabaa]"
(0)*(1*)+(0)*,"positive example:[00, , 001, 1110, 001000],negative example:[101, 1001, 10100, 00111011101]"
(a)*(bb(b)*)*(b+a)*,"positive example:[aabbbbaba, bba, babbbaba, aa, , aabbbb],negative example:[baabb, babaa, aab, aababaa, baaaaba, bbabbbab, bbbbaa, bbaa]"
(a*b*)|(b*a*),"positive example:[aaa, , ab, bbbaaa, bbb, aaabbb, ba],negative example:[baba, aba, baaab, bbbabb, bab, abaaa, abbba, aaababbab]"
(ab)*|(ba)*|(aa)*|(bb)*,"positive example:[baba, , bababa, aaaaaa, ababab, aaaa, bbbbbb, bbbb, abab],negative example:[aaaba, abaaa, aaabb, abaab, abbb, abba, bbaa, baab, bbab, babba, bbbab, babbb, bbbaa, bbba, babb, aabbaabb, ababa, a, b, ababb, aaaaa, aaaab, bbbbb, baaa, babaa, aaba, bbbba, babab]"
