Regex,Attempt Regex,DeepSeek Output
(ab|ba)*,((ab)*|(ba)*),"positive example:[baba, , abab],negative example:[bba, aba, bab, bbb, baa, abbb, abaa, aabb, abba, baab, baaa, babb, aaaaba, babab, ababa]"
(a|(b*bb))*,((bb)|a)*,"positive example:[bb, bba, , ((bb)|a)*, aabb, bbbb], negative example:[baaa, bbb, aabbb, babbab, bbab]"
(ab|ba)*,ab,"positive example:[ab],negative example:[aaa, bb, , a, aab, abbb, abba, abaabbaa, abab, ba]"
(a|(b*bb))*,(a+bbb*)*,"positive example:[abb, , abbbbabb, abbabb, aaabbaabb],negative example:[abbbbabaaabba, aa, bb, abbabab, abbaaab, abba, ba]"
(a|(b*bb))*,(a*bbb*)*,"positive example:[abb, bb, , abbbbabb, abbabb, aaabbaabb],negative example:[ab, abbaa, aaabbbbababbab, abbabaaa, abba, ba, bbab]"
(ab|ba)*,((ab)|(ba)),"positive example:[ab, ba],negative example:[aaa, bba, , a, bab, b, aab, baa, bbb, abaaa, abbb, abba, ababbab]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*,"positive example:[aa, , bbbabbbbbabb, bbbabbbbb, aabbbaabbbbbaabbbaa, bbbabbbb, bbbaabbbaaaabbbaa, bbbaaa, bbbabbbbbbbabb, bbabb, bbbabbb, bbbaabbbaa, bbbabbbbabb, bbbbbabb, bbbabbbbbaa],negative example:[bb, bbabbbbbaabbbabb, bbabbba, baa, aab, bbabbbbbaabbbbbaaba, bbabbbbbabbbbbaab, bbabbbbba, bbbab, bbaab, bbaaa, bbabbbbbaaab, bbabbbbbaabbbaaaab, bbabbbbabab, bbabbbbabaa, bbabbbbbbbaba, bbabbbbbaabbba, bbabbab, bba, bbabbaa, bbb, bbbaab, bbabbbbbaabbbbb, bbabbbbaa, bbbbba, bbabbbbbaabb, aababaabb, bbabbbbbaabbaa, bbabbbbbaabbab, bbabbbbbaabbbaba]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example:[aa, , bbabbbbbaabbbaaa, bbbbabbbbbaa, aabbabbbb, aabbabbbbbbbaaaabb, aabbabbbbbbb, bbabbbbabbbbbaa, bbbbaa, bbbbbb, aabb, bbabbbbbaabbbaa, bbabbbbbaabbbaabbbaa, bbbaa, bbbbbaa, bbbaabbbbbb, bbbaabbbbaa, aabbabbb, aabbabbbbbbbaaaabbbbbaa, bbabbbbbabb, bbbaabbbbbaa, bbbabbbbbaa],negative example:[bbabbbbbaabbbabb, bbabbba, bab, baa, aab, bbbbaabbb, aabba, bbabbbbaba, bbaa, bbabbbbba, bbbab, bbabbbbaaa, bbabbbbaab, bbbaabbbbaabbb, bbabbbbbabaa, bbabbbbbaabbbaabab, bbabbbbbaabbbaabaa, bbabbbbbaabbbaaaab, aabbabbabbab, bbbaabbbbab, bbabbbbbabbbbbaabbb, bbbbab, bbabbaaa, bbabbbbbaabbbbb, bbbbb, bbbbba, bbbba, bbbbbbaabbb, bbbaabbb, bbabbbbbaaabbb, bbbaabbbbba, bbbaabbbbbbb, bbabbbbbbbabab, bbabbbbbaabbaa, bbabbbbbaabbab, bbabbbbbaabbbaba]"
(a|(b*bb))*,(a)*(bb+ab+b+bba)*(bb+ba+a+bba)*(bb)*,"positive example:[aa, bbbaabbabbbaaaabba, , bbbaaabbabb, bbbaabbabbbbbb, bbbbaabbabb, bbbaabbabbbbbaabbabb, bbbaabbabbbbaabbabb, bbbaabbabbbaaaabbabb, aabb, bbbaabbabbbaabbabb, bbbabbbbabbabbbbabbbb, bbbbabbbbabbbb, aabbbbbb, bbbabbbbbba],negative example:[bbbaabbabbbaabaa, bbbabbbaa, bbbbbbab, bbbaabbabbbaab, bbbaabbabbbbaa, aab, bbbaabbabbbbb, bbbabbbab, bbbabbbbabbaaa, bbbabbbbabbabbaa, bbbaabbabbab, bbbaabbbb, bbbaabbba, bbbaaa, bbbabbbbaa, bbbaabbabbbbbbaa, bbbabaa, bbbabab, aabbbbb, bbbaabbabbbaba, bbbabbbbbbaba, bbbaabbabbbabb, bbbaabbabbbbba, bbbabbbbabba, bbbabbbbabbaba, bbbbab, bbbbaa, bbbaabbab, bbbabbbbabbab, bbbaabbabbaa, bbbbba, bbbba, bbbaabb, bbbabbbbbb, bbbabb, bbbabbb, bbbabbbbabbabbab, bbbabbbbabbaab, bbbaabbaababb, bbbaabbaaaa, bbbaabbabaa, bbbaabbabab, bbbaabbabbbbab, bbbaabbabbbaaaabab, ba]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*,"positive example:[aa, , aabbbbbaabba, bbbabbbbbaabba, bbbaabbabbbbbb, bbbbaabba, bbbaabbabbbbbaabba, bbbaabba, bbbabbbb, bbbabbbbbabbbbbaabba, bbbabbbbbbbaabba, bbbbbb, aabb, bbbabbbbbabbbbb, bbbabbb, bbabbbbbaabba, bbbaabbabbbbaabba, bbbbbaabba, bbbaaaabbabbbaabba, bbbabbbbabb, bbbbabbbbbaabba, bbbaaaabbabb],negative example:[bbbaabbabbbbbbaab, bbabbbbbaabbabaa, bab, bbabbbbbaabbabab, baa, bbbaabbabbbbaa, aab, bbbaabbabbbba, aabba, bbabaa, bbabab, bbabbbbbaabbabbbaaaab, bbabbbbbaabbaab, bbabbbbba, bbbab, bbabbbbbaabbaaa, bbbaa, bbabbbbbaabbabbbbb, bbbbbbaab, bbabbbbbaabbba, bbabbbbbaabbbb, bbbaabbabbbbba, bbabbbbbaba, bbabbbbbaabbabbbaaba, bbabbbab, bbbbab, bbaabb, bbbbaa, bbabbbaa, bbabbbbaa, bbbbb, bbabbbbab, bbbbba, bbbba, bbabbbbbaabb, bbabbbbbabbaa, bbabbbbbaaa, bbbaabbabbbbab, aabbaaaaba, bbabbbbbaabbabbbabb, bbabbbbbaabbabbaa, bbabbbbbaabbab, bbabbbbbbbabbab, bbabbbbbaabbabbbaba, bbabbbbbaabbabbab]"
(a|(b*bb))*,(a)*(bb+b)*(a)*,"positive example:[aa, , bbba, aabbbbb, aabbbbbaaa],negative example:[bbbab, bab, bbbaba, bbbbbab, baa, aab, aabbbaaabbaabb, aabb, bbaa, bbab]"
(a|(b*bb))*,(bb)*(a)*(bb+b)*(a)*(bb)*,"positive example:[aa, abb, , bbaaabb, bbbabbbb, bbabbb, bbbb, bbabbbabb, bbabbbbba, bbbaa, bbbbb, bbbabb, bbbba, bbabbbaaabbbb],negative example:[abbbabaa, abbbabbb, abbbaaab, ab, bab, bbbabbbbb, b, baa, abbaa, abbbbbabab, bbbabbaa, bbbabbba, abaa, bbbaab, abab, bbab, bbbab, bbbabba, bbbbbab, bbbabbab, bbaabbbab, aaabbabaabb, abbbab, bbbbabbbab]"
(a|(b*bb))*,(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*,"positive example:[, aabbbbba, aabbbabb, abbaa, aabbbabbaabba, aaaabb, aaaabbaabbaabba, aabbbaaabba, bbbaa, bbba, aabbba, abbabbbb, aabbabba, aabbbabbbbbb, abb, bbbabbbbabba, abbba, abbbb, abbabbabbba, bbbbb, bbbabbbbbb, bbbabba, bbbba, abbabbaa, aabbbabbabba],negative example:[bbbabbbbbbba, aab, abbaba, aaaabaaabba, bbbab, bbbbaba, bbbabbbbaa, aabbabb, aabbaba, abbbaba, aabbaabbaba, aabbaabbabb, aabbbabbab, aabbbabbbab, aabbaabbba, abbbbaba, bbbbbaba, aabbbabbbaa, ab, aabbaabbaabab, aabbaabbaaab, aabbaabbbb, aabbaabbaabaa, aabbaabbaaaa, bbbabbbba, aabab, aabbbabbaa, abbaabbab, abaa, aabbbaaabaa, bbbabbbbab, abab, bbbaaba, bbbabbbbba, aabbaaa, aabbbabab, abbabbab, aabbbab, abbabbbbaba, aabbbbbaba, abbabbaaba, aabbbabbbbb]"
(a|(b*bb))*,(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*,"positive example:[abbabbaabbbabbaabbaa, , abbabbaabb, abbabbaabbbaabbbbaabbaa, aabba, abbabbaabba, abbabbaabbabbaaabbaaaabbaa, abba, abbaabbba, abbaabbbb, abbabbaabbaabba, abbabbbb, aabbba, aabbaabb, aa, abbabbaabbbabbbbbb, abbaaaa, aabbbb, abbabbabbba, abbaaabbb, abbabbabbbb, abbabbaaaabbb, bbbabba, aabbaaa, abbabbaabbaabbaaaabbaa, abbabbaabbbbba, abbabbabbaabbaa, abbabbaabbaabbaabba, abbabbaabbbabbabba, abbaa, abbabbaabbaabbaaabbaa, aaabbb, aabb, bbbaa, abbabbaabbabbaabba, abbabbaabbbaabbaa, abbabbabbabba, abbabbaabbaaaabbaa, aabbabba, abbabbabb, abbabbaabbbaabb, abb, abbabbaabbbaabbabba, abbabbaabbbabbaaabbaa, aaaa, abbabbaabbaaabbaa, bbbbb, bbbabbbbbb, bbbba, abbabbaabbbabb, abbabbaabbbaaaabbbbabba],negative example:[baa, bbabbabbaaabbaaaba, bbabbabbaaabbaaaab, bbabbabbaaabbaaaaa, ab, bbabbbaabbabb, abbaaab, bbabbbabbab, abaa, bbabbbabbaa, abab, bbabbbaab, bbabbbabbba, bbaaaabbaabbaab, aaaabbab, bbabbabbaaabbba, bbabbabbaaabbbb, bbaabaa, bbaabab, aab, bbabbabbaa, abbaba, abbaaba, bbbab, aabbabb, aabbaba, abbaabbbbabbab, aabbbabbab, bbabbabbba, aabbbbabbab, bbabbabbbb, aabaa, aabab, aaab, bbbbab, bbabbbabab, bbabbabbaaabbaaabb, bbabbbabaa, bbbabbbbba, bbabbabbaaabbabb, bbabbbaabbbab, bbbbabbab, bbabbbaabbbaa, bbabbbaabaa, bbabbaaab, bbabbaaaa, bbabbbaabab, bbaabbbbabbab, bbaab, abbaaaabbab, bbabbabbaaabab, bbabbbaabbaaab, bbabbabbaaabaa, bbabbbaabbaaaa, bbabbababb, bbabbaabbaabb, bbabbaabbaaba, bbabbbabbbbaa, bbabbbabbbbab, bbaabbab, bbabbaabbaba, bbabbabbaab, bbaabbbabbab, bbabbabbaaabbaaa, abbaabbbabbab, bbbaabbab, bbaba, bbabbbaabbaabb, bbabbbaabbaaba, aabbaab, bbabbabbaaabba, bbabbabbaaabbaba, bbabbaabbaaa, bbbbbabbab, bbabbabbaba, bbabbabbabb, bbabbaabbaaabb, bbabbabaa, bbabbbbbaaaabbaba, abbabbabbab, bbabbabbaaaaa, bbabbabbaaabbaaba, bbabbabbaaabbaabb, bbabbabbaaaab, bbabbaabbabb, bbbabbbbbbab, bbabbaabab, aabbaaaabbab, bbabbaabaa, bbabbaabbaaaab, bbabbaabbaaaaa, bbabbbaabbbbb, bbabbaab, babaa, bbabbaabbaaaba, bbabbaabbba, bbabbaabbbb]"
(a|(b*bb))*,(aabbabb)*(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*(aabbabb)*,"positive example:[aabbaabbabbabba, , aabbaaabba, aaabbbaabbabbaabbaabbaabba, aabba, aaabbbaabbabbaabbaabbaaabbaa, aaabbbabbabba, aaabbbabbaaabbaa, aaabbbbba, aaabbbaabbaabbaaabbaa, aabbaa, aabbaaabbabb, aaabbbaabbaabbaabba, bbbabbabba, aaabbbaabbabbaabba, aabbba, aaabbbaabbaaaabbaa, aabbaabbabb, aabbaaabbaaabbbabbabba, aaabbbaabba, aaabbbaabbaaabbaa, aaabbbaabbaabba, aa, aabbaabbbb, aabbabbbb, aabbaaabbaabb, aabbaaaabba, aabbaaaaabbbabbabba, aaabbbaabbabbaaabbaaaabbaa, aabbbb, aaabbbaabbaabbaa, aaabbbaabbabbaabbabb, aaabbbabbaabbaabba, aabbaaaabbabb, aabbaabbaaa, aaabbbaaaabbbbbbabba, aaabbbaabbabbaabbaaabbaa, aabbaaaabbbb, aabbaabbaabbbabbabba, aabbaaaabb, aaabbbaabbaabbaaaabbaa, aaabb, aabbaaabbba, aabbaaabbbb, aabbaaabbaaaa, aaabbbabb, aaabbbaabbbbabba, aaabbbaabbaabbabb, aabb, aaabbabbaabbaabba, bbbaa, bbba, aabbaaaabbaaa, aaaaabbbabbabba, aaabbbaabbabbaaabbabbaabbabb, aaabbbaaaabb, aabbaabbabbbb, aabbaabbabbba, a, aabbaaaaaa, aaabbbabba, aaabbaa, aabbaaabbaa, aaabbbabbbbaabbaa, aaabbbabbbbabba, aabbabbabb, bbbbb, bbbba, bbbabbbbbb, aabbaabbabbaabbaabba, aaabbbaabbabba, aabbaaaa, aabbaaaabbaabbabbabba, aabbaaaabbba],negative example:[bbaaaab, bbabbbaabbabbaab, bbabbbaabbabbaabbba, bbabbabbaaabbaaaba, bbabbabbaaabbabbaba, bbabbabbaaabbabbabb, bbabbabbaaabbaaaaa, bbabbabbaaabbabbaabbabbbb, bbabbabbaaabbabbaabbabbba, bbabbabbaaabbabba, bbabbabbaabab, aabbaaaabbaaaaabbaaaa, bbabbabbaabaa, bbabbabbaaabbab, bbabbbaabbabbaabb, bbabbbaabbabbaba, bbabbbaabbabbabb, abbaabbbbabbaaa, abbaaab, bbabbbabbab, bbabbbabbaa, bbabbbabbba, bbabbbaabbabbaabbbb, bbabbabbaaabbba, bbabbabbaaabbbb, bbabbbaabbabbaaab, bbabbbaabbabbaaaa, bbabbabbaaabbabbaabb, bbaabaa, bbaabab, aab, bbabbabbaa, abbaba, abbaaba, aabbaaaabaa, bbabbbbbabbaaa, bbaabbaaaa, aabbaaaabab, bbab, bbbab, bbabbbaabbabab, bbabbbaabbabaa, aabbaba, aabbbbabbaaa, aabbaaaabbaab, abbaab, bbabbabbba, aba, bbabbabbbb, aabaa, aabab, aaab, aabbaabbabbaaa, bbabbbabab, bbabbabbaaabbabbaab, bbabbabbaaabbaaabb, bbabbbabaa, bbbabbbbba, bbabbabbaaabbabbaa, bbabbbaabbabbaabbaaa, bbabbbaabbabbaabbaab, bbbbabbaaa, aabbaaaabbabbaaa, bbabbabbaaabbabbaabbaba, bbabbbaabbbab, aabbab, bbabbbaabbbaa, bbabaa, bbabbbaabaa, bbabbabbaaabbabbaabbbb, bbabbaaab, bbabbaaaa, bbabab, bbabbbaabab, abbaabbbabbaaa, bbabbbaabbaaab, bbabbbaabbaaaa, bbabbbaabbabbbb, aabbabbaaabbaaaa, bbabbaabbaabb, bbabbbaabbabbaabbaba, bbabbaabbaaba, bbabbbabbbbaa, babbab, bbabbbabbbbab, bbaabbab, bbabbaabbaba, bbabbabbaaabbabbaabbaaa, bbabbabbaaabbabbaabbaab, bbabbabbaaabbaaa, abbaaaabbaaaa, baaa, aabbaaaabbaba, bbabbbaabbaabb, bbabbbaabbaaba, bbabbabbaaabba, bbabbabbaaabbaba, bbabbaabbaaa, aabbaaaabbbbabbaaa, aabbaaaba, bbaabbbabbaaa, aabbaaabbbabbaaa, bbabbabbaba, bbabbabbabb, bbabbaabbaaabb, bbabbbaabbabbaabaa, bbabbbaaaab, bbabbaabbabbaabba, bbabbbaabbabbaabab, aabbaaaaaabbaaaa, bbabbabbaabb, bbabbabbaaaaa, bbabbabbaaabbaaba, bbabbabbaaabbaabb, bbabbbaabbabbaabbabbaabba, bbabbabbaaaab, aabbaaaabbbabbaaa, aabbabbb, bbbaabbbbaa, aaaabbaaaa, bbabbabbaaabbabbaaab, bbabbabbaaabbabbaaaa, aabbbabbaaa, aabbaaaab, bbabbaabab, bbabbaabaa, aabbaaaaab, bbbabbbbbbaa, aabbaaba, bbaabbbbabbaaa, bbabbbaabbabbba, bbbbbabbaaa, bbabbaabbaaaab, bbabbaabbaaaaa, bbabbbaabbbbb, bbabbaab, bbabbaba, bbabbabbaaabbabbaabbba, bbabbaabbaaaba, abbabbabbaaa, bbabbaabbba, bbabbbaabbabbaa, bbabbaabbbb, bbabbabbaaabbaaaabaa, bbabbabbaaabbaaaabab, bbabbabbaaabbabbaabaa, bbabbabbaaabbabbaabab]"
(a|(b*bb))*,(a)*(bb+bbb)*(a)*,"positive example:[aa, , aabbbbb, aabbbbbaaa, bbbbbbba],negative example:[bab, baa, aab, aabbb, bbbbab, bbbbaa, aabb, bbaa, bbbb, bbab, bbbaaa, bbbbbab, bbbbbbbab, aabbbabbab, bbbbbaaabb, bbbbbaba]"
(a|(b*bb))*,((a)*(bb+bbb)*(a)*)*,"positive example: [, bbbbbaa, bbbbba, aabbbbbbbabbbbb, aabbbbbbbabbbbba], negative example: [bb, baa, bbb, bbbbab, bbbbbbbaba, bbbbaa, bbaa, bbbb, bbab, bbbab, bbbaa, bbbbbab, bbbbbaaba, aababaabb]"
(a|(b*bb))*,(bb+a)*,"positive example: [, bbbba, bbabba], negative example: [aaa, bb, bab, baa, ababb, bbbbab, bbaa, bbab]"
(a|(b*bb))*,(bbb+a)*,"positive example:[, bbbbba, bbbabbba],negative example:[bb, baaaba, babb, bbbaaa, bbbbbab, bbbabbb, bbbaab, bbaa, bbab]"
(a|(b*bb))*,a*(bb+bbb)a*,"positive example:[bbbbba, aabbbbbbb, aabbbbbbbaaa],negative example:[aa, bab, baa, aab, bbb, bbbbab, bbbbbbbaba, bbbbaa, aabb, bbaa, bbbb, bbbab, aabbabaabb, bbbaa, bbbbbab, bbbbbaaab, bbbbbabb]"
(a|(b*bb))*,a*(bb+bbb)*a*,"positive example:[aa, , bbbbba, aabbbbbbb, aabbbbbbbaaa],negative example:[bb, baa, aab, bbb, bbbbab, bbbbaa, bbaa, bbbb, bbab, bbbab, bbbaa, bbbbbab, bbbbbbbab, aababaabb, bbbbbaaaba, bbbbbabb]"
(a|(b*bb))*,(a)*(abb+bba+bb)*,"positive example:[aaa, , abbbbabb, abbbbbbabb, aaabbbbaaabbabbbbabb],negative example:[babbaa, bb, abbbbbbaaabab, abb, abbbbabbba, abbbbabbaab, abbbbabbaba, abbbbabbaaa, abbbbab, abbbbbb, abaa, aaab, abbb, abab, abbbbabba, abbbbabaa, abbbbabbabbab, abbbbabbabbaa, abbbaa, abbbba, abbbab, abbbbabbbb]"
(a|(b*bb))*,(a(bbb*))*,"positive example:[, abbbbabb, abbabb],negative example:[aaa, aab, abbaa, abbbbab, abaa, bbaabb, abba, ba, abab]"
(ab|ba)*,((ab)+(ba))*,"positive example:[, abbaabba, ababba, abba],negative example:[aaa, abb, aba, aab, abbba, abbaa, abbbb, abbab, abaa, bbbaab, ba, abab]"
(a|(b*bb))*,a*(b+b)a*,"positive example:[bbbba, aabbaaa, aabb],negative example:[aa, babb, bbabb, bbaba, aab, bbaaab, bbbbab, aabaabaa]"
(a|(b*bb))*,a*|(b+b)|a*,"positive example:[aaa, , bbbb],negative example:[bba, aba, bab, b, baa, abbbaab, aaab, bbbbab, bbaa]"
(a|(b*bb))*,(a*(bbb*)*),"positive example:[aa, , aabbbb],negative example:[bba, bab, baa, aab, aabbbbabbaab, bbaa]"
(a|(b*bb))*,(a*(b*bb))*,"positive example:[abb, bb, , abbbbabb, aaabbabb, abbaabb],negative example:[aa, ab, baa, babbaab, bbbbaaabbaba]"
a(a|b)a(a|b)*,aba+a(a+b)*a(a+b)*,"positive example:[abaaaababa, abaaa, abaaababa, abaaabaab, abaaaaaab, abaaaa, abaaaabab, abaaaabaaba, abaaaabaaaab, abaaababaab, abaaabaaab],negative example:[aaa, , baa, aab, abaaaabba, abaaaabbb, abbb, abba, abaaaabaababb, abaaababb, abaaba, abaabb, ababa, abaaaabaabb, abaaabbb, abaaaaaabb, abaaabba, a, aba, ab, bbb, ababb, abaa, abaaaabaaaabb, abaaabaabb, abaaaabababb, abaaabaaa, abaaabab, abaaaababb, abaaabababb]"
a(a|b)a(a|b)*,aaa+aba+a(a+b)*a(a+b)*,"positive example:[aaaabaaaabab, aaaabaaaaaab, aaaaaabaaa, aaaaaabaaababaab, aaaabaaaa, aaaabaaabaab, aaaabaaaababa, aaaabaaaabaaaaba, aaaabaaaabaab, aaaabaaabaaab, aaaabaaababa, aaaabaaaab],negative example:[, aaa, baa, aab, aaaabaaabaaaabaa, aaaba, aaaaaab, aaaabaa, aaabb, aaaabb, aaaabaaaaaabaa, aaaabaaabba, aaaabaaabbb, aaaabaaaabba, aaaabaaabaaa, aaaabaaaabaa, aaaabaaba, aaaabaabb, aaaabaaaababaa, aaaabaaaababb, aaaabaaaabaabaa, aaaabaaabaabaa, aa, abb, aba, a, bbb, aaaababb, aaaababa, aaaabaaabaa, aaaabaaabab, aaaabaaababb, aaaa, aaaabaaababaa, aaaabaaaabbb, aaaaba, aaaabaaaabaaa]"
a(a|b)a(a|b)*,(aaa+aba+a(a+b)*a)(a+b)*,"positive example:[aaaabaaabaaaabaaaba, aaaabaaaabab, aaaabaaaaaab, aaaabaaa, aaaabaaaa, aaaabaaabaaba, aaaaaabaaaba, aaaabaaabaabaab, aaaabaaabaab, aaaabaaaababa, aaaabaaababa],negative example:[, aaa, bb, aaaba, aaaabaa, aaaaaabbb, aaabb, aaaaaabba, aaaabaaaaaababb, aaaabaaabba, aaaabaaabbb, aaaabaaaabba, abbb, aaaabaaabaaa, aabb, aaaabaaba, aaaabaaabaabaabb, aaaabaabb, aaaabaaaababb, aaaabaaaabababb, aa, a, aaaabaaabaabaaaabb, aaaab, aaaababb, aaaababa, aaaaaa, aaaabaaabaa, abaa, aaaabaaabab, aaaabaaababb, aaaabaaababab, aaba, aaaabaaaabbb, aaaaba, ba]"
a(a|b)a(a|b)*,(aaa+aba)(a+b)*,"positive example:[aaaabaaaabab, aaaaaaba, aaaabaab],negative example:[aaa, aa, , abb, bb, aba, a, aaaba, aaabb, aaaab, aaaababb, aaaababa, aaaabaaaaba, aaaaaa, aabb, aaba, aaaabaabb, aaaaaabbaa, aaaaaabbbb, ba]"
a(a|b)a(a|b)*,(aba)*(aaa+aba)(a+b)*(aba)*,"positive example:[aaaabaaba, abaaaaabaaba, aaaabaabaaababa, aaaabaaab, aaaabaababa, aaaabaabaab, aaaaaabaaaaababab, aaaabaabaaba],negative example:[, abaaaba, abaaa, abbaa, aaaabaabaaa, aaaabaabaa, abaaaaaaababb, abaaaaaaababa, ababa, abaaaaabbb, abaaaaabba, abaaaabb, abaaaaba, abaaaaabaaaba, aaaabaababaa, abaaaaabaaabb, ab, a, ababb, abbbb, aaaabaababb, abaaaaaaa, abaaaaabaaaaababba, abaaaaabaaaaababbb, aaaabaabaabaa, abaaaaabaaabababaa, abaaaa, abaaabb, abaaaaab]"
a(a|b)a(a|b)*,(aba+aaa)(a+b)*,"positive example:[abaaaa, abaaaaa, abaaaaabab, abaaaaaaab, abaaaaabaaabab],negative example:[aaa, , baa, aab, abaaaba, abaaa, abaaaaaaabb, abbb, abba, abaaaaababb, abaaba, abaabb, ababa, abaaaaabbb, abaaaaabba, abaaaabb, abaaaaba, a, aba, ab, bbb, ababb, abaa, abaaabb, abaaaaabaa]"
a(a|b)a(a|b)*,(aaa)*(aba+aaa)(a+b)*,"positive example:[aaaabaaaaa, abaaaaaaabab, abaaaa, abaaaaab, abaaaaabaaabab],negative example:[, aab, abaaaba, aaaba, abaaa, aaabb, abbb, abba, abaaaaababa, abaaaaababb, abaabaa, ababa, abaaaaabbb, abaaaaabba, abaaaabb, abaaaaba, abaaaaabaaaba, aa, aba, ab, ababb, abaa, aaaa, abaaaaaaaba, abaabbb, abaaabb]"
(a|b)*(bab)(a|b)*,(a+b)*(bab)(a+b)*,"positive example:[babaaabab, abbab, babab, aaababbab],negative example:[babba, abb, ab, baaa, babbb, bababa, aaaba, bababaabb, bbaa, bbbb, baab, ba]"
(a|b)*(bab)(a|b)*,(a+b)*bab(a+b)*(babb)*,"positive example:[babaaababbabb, babbabbbabb, bababbabb, babab, aaababbabbabb, abbabbabb],negative example:[abb, ab, bababb, aaaba, babbabbab, babbabbbba, babbabbaa, babbabbba, bbaa, bbbb, baab, baba, baaa, babbabbbaaa, babbb, babbabbbaab, babbabbbbb, bababaabb, babbabab, babbabaa, ba, babbab]"
(a|b)*(bab)(a|b)*,(bbab)*(a+b)*bab(a+b)*(babb)*,"positive example:[bbababbab, bbabbab, bababbabb, babaaabab, abbabbabbbabb, ababbabab, aabbab],negative example:[, bb, bababb, abbabbb, abbabbabbaa, abba, abbabbabbab, ababbbbb, bbba, bbaab, bbaaa, abbabbabbbba, abbabbabbbbb, abbaab, abbaaa, aa, bba, abbabbabab, abbabbabaa, b, bbabbaa, ababb, abbababa, abbabbabbba, bbbb, ababbbaa, abab, bbabbaba, babaa, babaaaba, bbaba, abbabbab, abbabbaaa, abbabbaab]"
(a|b)*(bab)(a|b)*,(b+a)*(bab)(b+a)*,"positive example:[babba, babbabba, babbababbba, babbabbba, babab, babbbbababa, babbababba, babbababab, bbabababba, bbbbababba],negative example:[aaa, bb, babbabbbbaaa, bbaa, babbb, babb, babbabbabaab, babbabbabaaa, babbababaa, babbabbabababbab, babbabababbab, babbab, babbababbab, abb, bbabaaa, b, bbabaab, babbababb, babbabbabbab, bababbab, babaa, bbbba, babbababbb, babbabbbbaab, bbababa]"
(a|b)*(bab)(a|b)*,(a+b)*(bab)(b+a)*,"positive example:[babba, babbba, babbbbaba, abbab, aaababbab],negative example:[abb, babbaa, ab, aaaba, bbaa, bbbb, baab, baaa, babaa, babbb, babab, babbbbab, babbab, ba]"
(a|(b*bb))*,(a)*bb(a)*,"positive example:[aabbaa], negative example:[aa, aabbbbabb, bbbaa, bbaab, bab, baa, aab]"
(a|(b*bb))*,(a)*(bb|bbb)*(a)*,"positive example:[aa, , bbbba, aabbaaa, aabb],negative example:[baaa, bbaaaba, bbabb, aab, bbbbab, aababbab, bbab]"
(a|(b*bb))*,(bb|bbb)*(a)*(bb|bbb)*(a)*(bb|bbb)*,"positive example:[bba, , bbbbabb, abbaaabb, aaabb, abbbbabbbb, abba, bbaa, bbbb],negative example:[bbaabbab, bab, b, baa, abaaa, abbab, bbbbabbab, abbabaa, aaab, bbab, abbbbaaabab, abbabbaa, abbabbab, abbabbbba, ababbab]"
(a|(b*bb))*,a*bba*,"positive example:[aabbaa],negative example:[aa, babb, bbaaba, aabaaaba, bbb, aab, bbbb]"
(a|(b*bb))*,a*(bb+)*a*,"positive example:[bba, aa, , aabbbbaaa, aabbbb],negative example:[bbabb, bab, baa, aab, bbaaab, bbbbab, aabbabaabba]"
(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*a*,"positive example:[bba, aa, , aabbbbaaa, aabbbb],negative example:[bab, bbaba, baa, aab, aabbabbaabb, bbaaab, bbbbab]"
(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*,"positive example:[aa, , aabbbb],negative example:[bba, bab, baa, aab, aabbbbabbaab, bbaa]"
(a|(b*bb))*,(a*(bb+))*,"positive example:[bb, , abbbbabb, abbaaabb, abbabb, aabb], negative example:[aa, bba, abbab, abbbba, abbaaab, abaabbaa, abab, ba]"
(a|(b*bb))*,(a*bb+)*,"positive example:[bb, , abbbbabb, abbaaabb, abbabb, aabb], negative example:[aa, ab, bbababb, bbabbbbaaab, bbabaaaba, ba]"
(a|(b*bb))*,(a*(bb)b*)*,"positive example:[abb, , bbbbaaabbabb, aabb],negative example:[ab, abbabaaabba, abbabab, aaabbbbaa, abba, ba, bbab]"
(a|(b*bb))*,(a*(bbb*))*,"positive example:[bb, , abbbbabb, abbaaabb, abbabb, aabb],negative example:[ab, bbaba, abbaa, aaabbbbababbab, abbabaaa, abba, ba]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*(a|b)a*b,"positive example:[aaabaab, baababb],negative example:[bba, aba, abaaaa, bbabaa, abaaaabbaa, bbabaabbbb]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*(a|b)a*b)?,"positive example:[, bbabb, bab, aab, bbabaab, abaab, abaaaab],negative example:[bba, aba, bbaba, abaaa, aaabbaa, abaaba, bbabba, baabbbb]"
