Regex,Attempt Regex,ChatGPT Output
(ab|ba)*,a?,"positive example: [a]
negative example: [aa, aaa, aaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*|(0+)|(1+),"positive example: [11, 101010, 0, , 00, 010101, 1], negative example: [01010101]"
(a*ba*b)*a*ba*,(b*ab*)(ab*ab*)*,"positive example:[ab, aabab, abab]
negative example:[bbb, ababababab, baaa]"
(a|(b*bb))*,(ab)*|(ba)*,"positive example: [ab, ba, ababab, bababa, abababa]

negative example: [b, a, abb, baa, ababbaa]"
(a*ba*b)*a*ba*,(a*b(a*)(bb*))|(a*(bb)*a*b),"positive example: [baab, bbbb, aabab, aabbbbaab, b, ab, bbbaab, aabb, abaab]  
negative example: [a, bbabbab, abab, bb, aaabb, baa, abba, aaa]"
0*10*(10*10*)*,0*(11)*0*1*0*|0*,"positive example:[111, 0001100, 0, 01101, 0011, 011100], negative example:[110110, 101011, 110101, 010111]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b?a,"positive example: [a, ab, abb, aaab, baa, bbb]
negative example: [abba, bab, bbaa, aabbb]"
(0*10*10*)*|0*,1*10*1*10,"positive example: [11010, 1010, 111010, 111110, 101010, 1101010], negative example: [11100, 10010, 101001, 111001, 111000]"
(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(a)*(b),"positive example: [baaab, baaabab, baa, abaaab, abaaabab]
negative example: [aabaa, bbbaaab, babab, aaabbab, baabba]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)*a)*,"positive example:[ab, ba, abab, baba, aa, aabba, abbba, abababa, aaabbbba]  
negative example:[a, b, abbaba, abb, baa]"
b*a*,(a+)|(a*b*),"positive example:[a, aa, aaa, ab, abb, aabb, b, bb, bbb],
negative example:[baba, bc, cab, ba]"
(a*ba*b)*a*ba*,(b*ab*ab*)*ab*|(a*ba*ba*)*ba*,"positive example:[baa, bbbbb, a, aaaaabb, abaab, ab, ba, abab, baba, aab, baaabbb]
negative example:[bbbaaa, aaa, bbb, abba, aabb, bbbab]"
(a|b)*baa(a|b)*b,[ab]*(baa)+b[ab]*,"positive example:[baabab, abbabaab, abaab, ababaaab, bbaabaaab]  
negative example:[ba, abab, bab, aab, aabba]"
(ab|ba)*,a*,"positive example:[, a, aa, aaa, aaaa], negative example:[b, ab, ba, aab, baa]"
b*a*,(a+)|(a*b+a*),"positive example: [a, aa, aaa, b, aba, abbba, bbaa, aaba]  
negative example: [babab, bb, aab, baa, ]"
(a*ba*b)*a*ba*,(a*|b+)a*|bb*,"Positive example: [ba, , bbaa, b, bb, bbb, aaa, baa, a]
Negative example: [aba, ab, bba, aab]"
a(a|b)a(a|b)*,a((a|b)+)a(a+b)*,"positive example: [abaaaaba, aaaaaaa, ababba, aba]
negative example: [aaaaab, aaabab, ba, aaa]"
(a|b)*baa(a|b)*b,(a|b)*abb+(a|b)*b,"positive example: [abbabb, babbbaabbb, abbbabbb, ababbabbbbab, bbabbaabbb]
negative example: [abbbb, ba, bab, aaabbbb, aabb]"
(a*ba*b)*a*ba*,(a*ba*ba*b)+|a*ba*,"positive example:[baa, babba, abbaa, abab, aaab, baabb, aaba, aba]
negative example:[a, bb, ab, bba, aaa, b, abb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*|(01)*(0|1),"positive example:[1100, 00011, 01, 010101, 01100, 111011, 110011, 001100]  
negative example:[101, 0010, 111000, 010011, 001101, 111110, 0000, 11001]"
(a|(b*bb))*,a*|b*,"positive example: [a, b, aaaaa, bbbb, aaa, b], negative example: [ab, ba, aba, bab, aab]"
(ab|ba)*,(ab|ba)+(aa|bb|ba|ab)*,"positive example: [ab, ba, abbbaa, baaaabbabb, abab, babba, abbaab, babbaa]

negative example: [, aba, a, b, aaa, bbb, ababa, babab]"
(a|(b*bb))*,a|b,"positive example: [a, b]  
negative example: []"
1*(01*01*01*01*)*,0*1*(0000)*,"positive example: [000000, 100000, 00001, 1110000, 0010000, 110000000]
negative example: [0001, 0000, 111, 010101, 100, 000111111]"
(a|baa)*,((a*b*aa)a*)*,"positive example: [, aa, aabaa, aaaa, baaaa, baaabaa]
negative example: [a, b, ab, abab, bb, baba]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)?(a|ba(a|b))*(b|ba),"positive example:[ba, bababbaab, baba, baa, bbaa, babab, abbaa],  
negative example:[ababa, aa, abb, bbb, babaaba, ab, bababaaa]"
(0*10*10*)*|0*,0*1*,"positive example:[0, 0011, 1, 01, 11, 000111, 01]
negative example:[10, 1100, 101, 100, 0110, 11100, 1110]"
(ab|ba)*,(aa|ba)*,"positive example:[, baaa, aaba, aa, ba, aabaa, baba, bbaa, aaaa],negative example:[a, aaa, b, ab, bab, aab]"
0(0|1)*0,(0*1+)(0|1)*(1+0*),"positive example:[1001, 01110, 1110, 000111000], negative example:[10, 0101, 111100]"
(a|baa)*,a*|baa*|abaa*,"positive example: [baaa, abaaa, , ba, aa, aba, a, baa, abaa]
negative example: [b, abb, bab, bb, ab]"
(a|b)*baa(a|b)*b,(a)*(b)*(baa)*(b)*(a)*(b),"Positive example: [baa, baaab, bbbaaab, abbaa, baaabb, abbaaab]  
Negative example: [aab, abbb, bba, ab, aabb, baabba]"
(a|(b*bb))*,(a+b*)*,"positive example:[, aba, a, ab, aa, aab, abb, abbb], negative example:[b, c, baa, abc, ac]"
(ab|ba)*,(a)*(b)*,"positive example: [a, aa, aaa, b, bb, bbb, aab, abb, ab]
negative example: [ba, abba, baba, aabb, bab, baa, ababab]"
(a|baa)*,(a|b)(b*a(a)*),"positive example: [bbba, baaa, aba, abba, bbaa]  
negative example: [aaa, bbbb, baa, ab, b, aa]"
(a*ba*b)*a*ba*,(|bb)*b,"positive example:[b, bb, bbb, bbbbbb, bbbbbbb],negative example:[a, ab, ba, negative, 123]"
0*10*(10*10*)*,1|(111)*,"positive example: [1, 111, 111111, 111111111]
negative example: [0, 11, 1111, 1111111]"
(a*ba*b)*a*ba*,(a*b+)*,"positive example:[, bab, ab, aab, abbb, aabb, abba, bbab], negative example:[baa, aaab, a, b, baaa, abbba, aaa, bbba]"
(a*ba*b)*a*ba*,(a*b+)+,"positive example:[b, ab, abbb, aabbb, abb, aab, abbbbb, aabb]
negative example:[a, aa, aaa, aba, baa]"
(a|(b*bb))*,(a)*b*(ba+ab)*b*(a)*,"positive example:[ab, aaba, bbaabab, ababba, aaabbaa]
negative example:[aababbb, aabaa, bbaab, abbba, baababba]"
(ab|ba)*,(ba+ab)*(ab)*(ba)*(ab)*,"positive example:[baab, baabab, baabaabab, ababa, baaabab]
negative example:[abba, baa, ab, aba, bab]"
(a|(b*bb))*,a*b*(ab+ba+b*)*b*a*,"positive example:[, bbabbaabbabaa, aaabbaaabbababba, abbba, abbaab, babb, ababa]
negative example:[bababba, aaa, bab, abab, baaab]"
(a|baa)*,"(a)*b+a{3,}","positive example:[baaaa, abaaaa, aabbaaa, bbaaaa, baaaaaaaa], negative example:[babaaa, aaa, baa, bb, aaab]"
1?(01)*0?,0?|0|1|(010)*(101)*,"positive example:[0, 010101, 101, 010010101, 010010101101], negative example:[00, 101010, 011, 110, 0101]"
(0|1)(0|1)*,0?1?,"positive example:[0, 1, 01, 10, 0, 1],negative example:[00, 11, 101, 110, 000, 111]"
(a|(b*bb))*,(a+b)*,"positive example:[, abab, ab, a, b, aa, bb, aba, bab, abb, baa], negative example:[ba, abba, ac, abc, bca, aabbc, cab]"
(a*ba*b)*a*ba*,((a*)+b+(a*)+(b*b*)+(a*)),"positive example:[baba, baa, bbbaa, bbaabb]
negative example:[bbab, aab, bbbb, abbaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0),"positive example:[010, 110, 0110],negative example:[0, 00, 10, 111, 001, 101, 000, 11]"
(0*10*10*)*|0*,(0*1+0*1)*,"positive example: [ε, 10111, 101110, 110, 110110, 1010101, 101101], negative example: [1011, 011, 1110, 1100, 0101, 001]"
(a|(b*bb))*,(a+b)*(bb)*,"Positive example: [bbbb, abab, abbbbb, abbb, aabbb, babb, bb]

Negative example: [ab, ba, aabb, abba, aaa, bba, bbb]"
(a|baa)*,b(b*)aa(a*),"positive example: [baaa, bbaa, bbaaa, bbbaaa, bbaaaaa]  
negative example: [baa, aaa, bbbb, aaaaa, abba]"
a+b,ab+,"positive example: [ab, abb, abbb], negative example: [a, b, abab]"
a+b,ab*,"positive example:[ab, abbb, a], negative example:[b, baa, bb]"
(a*ba*b)*a*ba*,a*b(bb)*(a*b(bb)*)*,"positive example: [babb, aab, ab, bb, abb, aabbb, abbb, babbb, aababb, ababb]  
negative example: [aa, ba, bba, aba, baa, abba, a, bbb, aaba, bbbb]"
(a*ba*b)*a*ba*,a*|b(a*)(bb)*,"positive example:[a, aa, aaa, b, ba, bb, baab, baa, baabb, baabbbb],negative example:[bbbabb, bab, bbb, bba, abbb, abab]"
(0*10*10*)*|0*,0*1(0|1*)*,"Positive example: [101, 011, 111, 10001, 00111]  
Negative example: [00, 11, 010, 000, 10]"
(0*10*10*)*|0*,0*1(0*1)*10*,"positive example:[0110, 1010, 00010110], negative example:[00, 111, 10001]"
b*a*,a*b(a|ba*b)*,"positive example:[b, ab, aab, abba, bab, aabab]
negative example:[bb, a, ba, aba, abb, bba]"
(a|baa)*,(a)(b|aa*a)*,"positive example: [a, ab, abaa, abaaa, abaaaaa, abaaab]
negative example: [abab, b, aa, aaaa, ababab, abbbb]"
0*10*(10*10*)*,(1(11)*|0*)1(11)*(1(11)*|0*),"positive example: [1100, 111110, 0011, 1, 111111, 0111, 0001, 110111]
negative example: [111, 001, 010, 1010, 11100, 110011, 000, 0101, 100]"
(a*ba*b)*a*ba*,a*(b|(b((a*b{2})+a*))*)a*,"positive example: [b, abba, aabba, bbaab, baaabbbba]
negative example: [ba, aabb, bbabab, bababa, abaa]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?)),"positive example: [baa, a, baaabaa, abaabaa, baabaa]  
negative example: [abaabababb, ab, bababa, aab, aabb]"
(a*ba*b)*a*ba*,a*b+(bb*|a*),"positive example:[ab, aabb, bb, baa, bbbba], negative example:[aaa, baaab, ba, a]"
(a*ba*b)*a*ba*,b(a*bb*),"positive example: [bb, baabbb, babb, bab, baabb, baaabbb, baaabb, babbb], negative example: [b, a, aabb, abb, abbb, aabbb]"
(a*ba*b)*a*ba*,(a*)(a*|(bb(b))*)*,"positive example: [a, aa, aaa, bbba, bbbbba, abbba]

negative example: [b, ab, ba, bb, bba, bbbaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*,"positive example: [ab, abab, baba]

negative example: [ba, bb, baa]"
(a|baa)*,a*b(aa+)*,"positive example: [aabaa, b, aaaaabaaaa, aab, abaa, aaab]
negative example: [ba, a, ab, abaaa, bba, aa]"
(0|1)(0|1)*,(0*|1*|(10)*),"positive example: [11, 0, 00, 1010],  
negative example: [01, 110, 100, 101, 111]"
(a|baa)*,(a|ba*a)+,"positive example: [a, aba, baba, baa, abaa, baaaa, ababa]  
negative example: [b, ba, bb, aaa, bab, aab, bba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|(((0|1)*10(0|1)*01(0|1)*)|((0|1)*01(0|1)*10(0|1)*))*,"positive example:[111, 000, 1001, 011010, 01011010, 001100, 10101, 110110]
negative example:[011, 1100, 101, 0001, 11011, 0101]"
(a*ba*b)*a*ba*,(a|(bb)*b),"positive example: [a, b, bb, bbbb, bbb]
negative example: [c, ab, bbbbbb, bbbbbbb, aa]"
(a*ba*b)*a*ba*,b*((ab)*(ab)*)*,"positive example: [, bbbb, bab, b, ababab, bbababab, bababab, bb]
negative example: [a, abb, aba, ba, bba]"
(0|1)(0|1)*,(01)*,"positive example:[, 0101, 01, 010101, 01010101], negative example:[0, 1, 010, 101, 1100]"
0*10*(10*10*)*,0*1*[11]*,"positive example: [00, 0, 1, 11, 0011, 011, 010111, 1111], negative example: [10, 01, 101, 110, 100, 1110]"
(a|baa)*,(a)*(b|aa)*(a)*,"positive example: [ba, aaaba, baa, aaaa, bba]
negative example: [aab, bbaa, abaa, bab, aaab]"
(a*ba*b)*a*ba*,a*(b|bbb)*a*,"positive example: [a, aa, b, bbb, abbba, aabbbaa, abbbbaa]
negative example: [ba, bab, abba, bbbba, babb]"
(ab|ba)*,(ab+ba)*(aa+bb+ab+ba)*,"positive example: [abbaabbbaaabbabbaaabbabba, abba, ab, baaabba, abbaaa]
negative example: [aabb, bab, aaababaaa, bbaaa, ababab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01*0)|(10*1))*,"positive example:[, 00101, 010, 101, 001001, 10101, 01010],negative example:[0101, 1100, 111, 000, 0110, 1001]"
(a*ba*b)*a*ba*,(a*ba*ba*b)+|ba*,"positive example:[baa, bbb, b, abbabb, bab, babb, baabaabb]
negative example:[a, ab, aa, abab, aabaa, aaa, bbaa]"
a(a|b)a(a|b)*,a(a|b)+a(a+b)*,"positive example:[ababa, aababaa, abaaba, ababaa, aababaab], negative example:[bbb, ba, ab, aaab, ab]"
(a|baa)*,"((a)*(b)+a{2,})*","positive example: [abaa, baabaa, aabaa, abbaaa, abaaabaa]  
negative example: [babaa, bbaaa, aab, bab]"
(a|b)(a|b)+aaa+,(ab*)|(ba*)|(aa*)|(bb*)(aaa),"positive example: [baa, bbbaaa, aaa, abb, ab, b, aabbaa, aaabaa, bab, bbbaa]  
negative example: [aabb, abab, baab, abba, bbab, a, ba]"
(0|10*1)*,((0*1)|(10*))*,"positive example:[, 10, 01, 110, 1001], negative example:[1, 101, 0, 1100, 000]"
(a|(b*bb))*,(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example: [bbb, bbbbb, bbba, baabb, abbbba, abbba, bbbbbab, bbabb]
negative example: [bab, bb, aba, baa, aab, ab, aa, b]"
(0|10*1)*,0*(01*01*)*,"positive example:[0, 0101, 00100, 00, 010101, 000, 0101010101, 0010100],  
negative example:[1, 011, 1100, 101, 0011, 01, 100]"
(a|(b*bb))*,b*a*|a*,"positive example: [a, aa, baa, ba, b, bba, bbaa]  
negative example: [bb, bab, bbaaa, ab]"
(b|(a*aa))*,a*|b+,"positive example:[, bb, aa, b, aaa, bbbbb, a, bbb],negative example:[ab, ba, oba, aba, cab]"
(a*ba*b)*a*ba*,(a)*(b)*(b)(a)*(bb)*(a)*,"positive example:[abbbb, bbaabbaa, abbbaa], negative example:[baaba, baaabb, bbba]"
(a|(b*bb))*,a?(a|bb)*b*,"positive example:[, a, bb, abb, abbb, aabb, aabbb, bba], negative example:[bab, aa, baa, ababab]"
(0*10*10*)*|0*,(0*11+0*)*,"positive example: ["""", ""0110"", ""11011100"", ""110"", ""001100"", ""110110"", ""00111000""]
negative example: [""1"", ""111"", ""10"", ""001"", ""0"", ""111001""]"
(a|(b*bb))*,(a)*(bb)*(a)*(b)*,"positive example: [a, b, aba, bbbb, aaabb, aabbba, ab]

negative example: [abbaabb, bbbaa, baabb]"
0*10*(10*10*)*,(0*1(11)*0*)|(11)*,"positive example: [1, 0, 11, 010, 11111, 1111, 00100]  
negative example: [00, 001, 0, 100, 10, 011]"
(a*ba*b)*a*ba*,(a)*(b)*(a)*(b)(a)*(bb)*(a)*,"positive example:[bbbbbbba, aabbbaaa, baaabbbba], negative example:[babbaa, babbbbbbaaa]"
(0*10*10*)*|0*,0*(1+0*1+)*,"positive example:[1, 11, 010101, 001011, 1101], negative example:[10, 00100, 111, 000, 0110]"
b*a*,(a|b)a+b*a*,"positive example:[aaa, baa, aaba, abaa, baaa], negative example:[b, ab, bb, bab, aba]"
(a|b)(a|b)+aaa+,(aa|bb)|(ab|ba)aaaa*,"positive example:[aa, bb, abaaa, abaaaa, abaaaaa, baaa, baaaaa],
negative example:[a, aaa, abc, baa, abab]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*(a|b)a*ba,"positive example:[bba, abbbaaaba, baba, aba, baa, bbaba, abbba]
negative example:[aaa, bbb, ab, ba, aabba, bababaa, aabb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)+(0|1)+(0|1),"positive example: [101, 011, 111], negative example: [000, 10, 01]"
(a|(b*bb))*,a*(b|bb|bbb)*a*,"positive example: [b, bb, abb, babb, aa, aabbaa, bbb,]
negative example: [ba, bab, abba, abca, aabc]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)*|0*)|1((00*1)*|1*),"positive example: [10101, 111, 0110, 11, 01010, 1001, 0, 1, 1111, 110, 001, 010]
negative example: [10, 0010, 1101, 011, 1011, 100001, 100, 0111, 0101]"
(a*ba*b)*a*ba*,b|aa*bb,"positive example:[b, abb, aaabb, aabbb, aaabbb], negative example:[a, ab, aa, aaaa]"
001|1010|110,(001|10101|110),"positive example: [10101, 110, 001], negative example: [0, 100, 101]"
(a|baa)*,a*|b(aa+)*,"positive example: [a, aa, aaa, b, baa, baaa, baaaa]  
negative example: [c, ab, bb, baaab, aab, bab, aaaa]"
(a|b)(a|b)+aaa+,a|b+a|b+aaa,"positive example: [b, bba, bbaaa, baaa, a, ba]  
negative example: [bbb, aa, ab, bab, bb, aaa]"
(a|b)*baa(a|b)*b,a*b*(ba+)*b,"Positive example: [bbb, aababab, bab, bbabab, ababb]

Negative example: [abab, aaabb, ba, aba, bba]"
(ab|ba)*,(ab+ba)*(a+b+b?)+a+b?,"positive example:[abababa, abbababba, abbaaaa]
negative example:[abba, aabbb]"
0*10*(10*10*)*,(1?|11?)|111?,"positive example: [1, 11, 111, 1111]
negative example: [0, 10, 110, 11111]"
(a|baa)*,(a|b*(aa)),"positive example: [aa, baa, a, bbaa, bbaaa, bbbaa]
negative example: [b, ba, bb, bbb, bba, bbbba]"
(a|b)*(bab)(a|b)*,(a+b)*|bab|(a+b)*,"positive example: [bab, ab, ba, abab, baba, bb]
negative example: [a, b, aa, bbba, baa, abbb]"
001|1010|110,0+0+1,"positive example:[000001, 00001, 001], negative example:[011, 101, 010]"
0*10*(10*10*)*,0*1(11)*|0*,"positive example: [1, 0, 00, 01, 0011111]  
negative example: [111, 101, 011, 10, 00101]"
(b|(a*aa))*,b*aa(a+b)*,"positive example: [baaab, bbaa, aaabab, aa, aaa, baaa, baaaba, aabaa]  
negative example: [bab, b, ab, abab, bbab, aaaab, abba]"
(a|(b*bb))*,(ab)*,"positive example: [, abab, ab, ababab, abababab], negative example: [a, b, ba, aa, bb]"
(a*ba*b)*a*ba*,a*(bab*)*b,"positive example: [b, bab, abab, babab, aabab, ababab], negative example: [a, aa, abb, bb, ba, aabb]"
0*10*(10*10*)*,(0*1|(11)*|(101)*|11),"positive example: [1, 11, 101, 1111, 001, 101101, 101101101]
negative example: [0, 01, 11, 1010, 10111, 011]"
(ab|ba)*,(a+b)*(a+b)*,"positive example: [aa, bb, ab, ba, aab, abb, bba, baa, abab, baba, aabb, bbaa]
negative example: [c, ac, bc, cab, abc, acb, bac, bbc, dbc, aac]"
(a*ba*b)*a*ba*,((a)*|b)(a|bb)*|b,"positive example: [b, aaa, bbba, bbb, abba, baaab]
negative example: [baaabbb, bba, abb, bbbaa, ab, abab]"
(a*ba*b)*a*ba*,(b*)a*,"positive example: [b, bb, bbb, aaa, a, ab, aab, ba, baa, bba, bbba, aaaa]

negative example: [aabb, abba, babb, abaa, bbab, abab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+)|(1+0+))*,"positive example: [0101, 1001, 0110, 1100, 1010]  
negative example: [1, 00, 11, 01, 10]"
0(0|1)*0,0*1*0*,"positive example:[0, 10, 110, 0001, 000111000]
negative example:[111, 010, 1011, 00101, 1110]"
(a*ba*b)*a*ba*,b|a*(bb|a)*,"positive example: [b, bba, bb, ba, aa, aba, abba, aabab, aabba, bab]
negative example: [ab, aaab, abbb, baab, aabbb, bbbaa, bbaa, abaaa, bbb, bbab]"
b*a*,((a+)|a*b+a*),"positive example: [a, aa, aaa, b, ab, aba, aabaa, aabb, aabba]  
negative example: [, bab, ba, bb, abba, abbb, bba]"
(a|baa)*,a*(b(aaa*)*)a*,"Positive example: [b, bb, abb, ba, aba, aaba, aabaa]  
Negative example: [baaa, baa, abaaba, aaabb, a, aaa]"
0*10*(10*10*)*,((((1*)?)|((11*)?))|((111*)?))|0*,"positive example: [0, 00, 1, 11, 111, 000, 0000]  
negative example: [12, 100, 110, 001, 101, 01, 10]"
(a|b)a*,(a|b)b*,"positive example:[b, bb, ab, a],negative example:[ba, aa, c, abc]"
(a|(b*bb))*,(baa|a)*,"positive example:[, baa, a, baaa, aaa, aaaaa, baaaa, aaaa]
negative example:[b, ab, aba, abaa, bba, bbaa, bab]"
(a|b)(a|b)+aaa+,a|b(b|ab*)aaa,"positive example:[bbaaa, a, baaaa, babbaaa, bbaaabaaa, bbaaaaa, babaaaa, baaabaaa], negative example:[b, bb, baa, bbb, baaa]"
(a|(b*bb))*,(bb+a)*(b+a)*,"positive example: [bba, bbabaa, baba, bbab, baa, a, b]

negative example: [aa, abb, abaa, baab, aab, ab]"
(a|baa)*,(a)*(b)(aa*),"positive example: [ba, aaba, abaaa, aaabaa, baaa, aaaabaa]

negative example: [b, aa, aabb, abab, ab, aaab]"
(a|(b*bb))*,(ba*b)*,"positive example: [ε, baabbb, b, bab, baabb]
negative example: [a, ab, bbaba, aa, bba]"
0*10*(10*10*)*,0*1|1*0*,"positive example: [1, 0, 111, 000, 101, 1000],  
negative example: [010, 0110, 1011, 11001, 10010]"
(a|b)*baa(a|b)*b,ab|a*b*(baa)b,"positive example:[ab, aab, abbbaaab, baab, abaab, baaab], negative example:[aa, ababab, bbaa, aabb]"
0(0|1)*0,0*(0+1)*0*,"positive example:[0, 00, 010, 110, 00100, 0100, 1000], negative example:[1, 11, 111, 101, 1101, 10]"
(a|baa)*,a*baa*,"positive example: [baa, abaa, baaab, aabaaa]  
negative example: [bb, abba, aa, aaba]"
(a|(b*bb))*,(a*bb*a*)|a?,"positive example: [bb, bba, abb, abba, aba, a, aa, bbaaa, bbbb]
negative example: [ba, ab, aaaa, bab, bbbbba]"
0(0|1)*0,(0*)0*1*(0*)|(0*)1*0*(0*),"positive example: [0001, 110000, 111, 01000, 000, 00100], negative example: [1010, 1111100, 1001, 01101, 0101]"
a(a|b)a(a|b)*,(aba|aab)(a|b)*,"positive example: [aba, aab, abaaa, aabbb, abaabab]  
negative example: [ab, aa, ba, abab, a]"
(a*ba*b)*a*ba*,b*(ab*ba),"positive example:[bba, abbabba, babba],negative example:[bab, abbbab, aab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0*1*)*0)|(1(0*1*)1))*,"positive example:[, 10100, 00101, 110011, 000, 11, 001100, 1001], negative example:[0101, 10, 01, 111, 0001, 0100]"
b*a*,a(a)*|a*b*,"positive example:[a, aa, abb, ab, aaaa, aabbb, b, bb]
negative example:[bab, abab, ba, bbaa, aabba]"
(0*10*10*)*|0*,0?|111*,"positive example:[0, 11, 111, 1111, 11111], negative example:[1, 00, 10, 01, 011]"
(a|b)*baa(a|b)*b,((a|b)+(baa)a*b)*,"positive example: [baa, baabaa, aabaaab, babbaaaab, bbabbaa]
negative example: [a, b, ba, abba, abaa]"
(a|baa)*,(a|b)*aa+,"positive example: [aaa, baa, aaaa, abaaa, aba]
negative example: [b, abab, ab, bb]"
(a|(b*bb))*,a*|(a+b)*,"positive example: [a, aa, abaab, ababab, b, aabba]
negative example: [ba, bab, bba, abbb]"
(a*ba*b)*a*ba*,(a*(b|bbb))*,"Positive example:[, b, ab, bbb, aabbb, ababbb, bbab]

Negative example:[a, ba, aabb, abba, aabb]"
(a|(b*bb))*,a*bb*a*,"positive example: [bba, abb, aabbba, aaabbaaa, bb]
negative example: [ab, bbb, abab, aa, bbaaa]"
(a|(b*bb))*,(a+b*b),"positive example:[abb, abbb, ab, a], negative example:[b, bb, bbb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*,"positive example: [010, 01001100, 0101010, 010010, 0100100100]

negative example: [1, 011, 0001001, 010110, 01000]"
(a*ba*b)*a*ba*,a*b+(a|bb)*,"positive example: [ab, aabbb, baa, bbbaa, abbbaa]  
negative example: [bbbab, abab, bb, aaaa, a]"
(0*10*10*)*|0*,(0*|1)11,"positive example:[11, 111, 0011],negative example:[1, 011, 00011]"
(a|baa)*,a*|(?:a*|(b[a]{2})+)*,"positive example: [a, aa, baa, baa?:, aaaaa, baabaa, baabaaabaa]

negative example: [b, ba, baaaa, bab, bba, aaab]"
(0|1)(0|1)*,0*1*,"positive example:[0, 1, 01, 001, 011, 111, 000111]  
negative example:[10, 110, 101, 1100, 1110, 1001]"
(a|b)(a|b)+aaa+,bbb*aaa*,"positive example: [bbba, bbbbaaaaa, bbaa], negative example: [abba, abbb, aaabb]"
(0*10*10*)*|0*,(0*|1)1*,"positive example: [1, 011, 0001]  
negative example: [10, 110, abc]"
(a*ba*b)*a*ba*,"b(b{2,})*","positive example: [b, bbb, bbbbb, bbbbbbb], negative example: [bb, bbbbbbbbbb, bbbbbbbbbbbb]"
b*a*,a(a)*(b)*(a)*,"positive example:[a, aaab, aaaa, ab, aaa, abab, aabaa], negative example:[ababa, ba, bba, abb, bab]"
(a|baa)*,a*|b(aa)*,"positive example: [a, aaa, b, baa, baaaa, baaaaaa]
negative example: [ab, aab, bab, baaab, bb]"
(a|b)(a|b)+aaa+,(a*b|aaa)*,"positive example:[, aaa, aab, ab, aaaa, aabaa, ba, abbaa], negative example:[a, aa, abab, b, abba, bb, baab]"
(a|b)*baa(a|b)*b,(a*)(b*)(aa*)b,"positive example: [aaab, aab, abab, bbbaaaab, abb]
negative example: [ab, bbab, baaabab, babb, aabb]"
(a|baa)*,a*(baaa*)+(a|b)*,"positive example: [baaa, baaabaa, baaaabaaa, aabaa, bbaaa, baaaaa]

negative example: [aa, ab, ba, abab, bbb, aabbb]"
(a|baa)*,"a*|[b]*[a]{2,}","positive example: [a, aa, aaa, bbaaa, bbaa, aaaa, baaa]
negative example: [b, ba, baa, bb, ab, bab]"
(a|b)(a|b)+aaa+,a*b*a+a+a+,"positive example: [aaa, aba, aabbaaa, aba, aaaa], negative example: [babaaa, aa, aab, ab, baaaa]"
(a|b)(a|b)+aaa+,((a|b)(a|b))*(aaa),"positive example: [aaa, aabbaaa, abaaa, abababaaa, baaa]
negative example: [aa, abab, aabb, bbb, abba]"
0*10*(10*10*)*,(0*1|(11)*),"positive example:[, 01, 001, 1111, 1, 11, 111111], negative example:[0, 10, 111, 1110]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(aaa)+,"positive example:[aaa, aaaaaa, baaaa, bbaaaa, abaaaa, aaabbabbaaa, aabaabaaa, aabbaaaa]
negative example:[aaaabaaa, aabaa, abbbaaa, baaabaaa, bb, aabaaa]"
(a|(b*bb))*,(a+b)*bb(a+b)*,"positive example:[bb, abbbab, ababbbabab, bbb, bbbbb, abbabb], negative example:[a, b, ab, ba, aba, bab]"
001|1010|110,0*1(01)*(10)*,"positive example: [0010, 1010, 01010, 00010101]  
negative example: [110, 010011, 1001010]"
(0(0*|1+0)*)|(1(1*|0+1)*),(01)*(10)*,"positive example: [01, 0110, 010110, 011010, 1010, 01101010]  
negative example: [0, 1, 00, 11, 101, 010, 10101, 1100]"
(a*ba*b)*a*ba*,((a*|bb*)b)+,"positive example: [ab, aab, abb, abbb, abab, aabab]
negative example: [a, bbb, aaa, bab, bb, aabba]"
