Regex,Attempt Regex,ChatGPT Output
(a|baa)*,a*(ba{2})*,"positive example: [a, aa, baab, aaaa, baa, aabbaa, abaa, baabaa], negative example: [b, aba, baaab, aab, ab, bbaa, bab, aaab]"
(b|aa*bb)*((aa*(b?))?),b*a*b*|((a*bb+a*)*)?,"positive example: [babb, bbaab, abbbaa, b, a, ab, aabb, bb, aaa, aabaa]  
negative example: [abab, ba, bbaa, abba, bab]"
(a*ba*b)*a*ba*,a*ba*(ba*b)*a*(ba*b)*,"positive example: [b, aba, ababa, aabbaa, aababaa, bab, babba, bababa], negative example: [bbbabba, aaabb, abaa, bbaa, cab, abbac]"
(a|baa)*,aa*(baaa*)*,"positive example: [aa, aaabaabaa, a, aaaaa, aa, aabaa, aaabaaaa]  
negative example: [b, ab, aab, aabb, aba, abba, aabaaab]"
a(a|b)a(a|b)*,((aaa)|(aba))a*b*,"positive example: [aaa, abaaabb, aaab, abaab, aaaa, aba, aabbb, abaa]
negative example: [aaabab, a, baa, abab, aa, b, ab, abaabb]"
(a*ba*b)*a*ba*,(b{1}a*)|(a*b{1})|(a*b(bb)*),"positive example:[b, ba, ab, aab, bbbb, aaaabbbbb]  
negative example:[a, bb, aa, abab, bba, abb]"
(a|baa)*,"b?a{2,}","positive example: [aaaa, baaa, baa, aaaaaa]  
negative example: [b, ba, bba, aa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001),"positive example:[11010, 00100, 110010, 111, 00010, 111110, 11000, 101010, 01101, 01, 1000, 1011, 10011, 1111, 0111, 100, 11001, 01011, 10, 10110, 10011, 111101, 11010, 101111, 101001, 111000, 00111, 110100, 01000, 1101, 100110, 111001, 0010, 1111, 001, 01110, 11100, 10101, 101100, 0001, 0100, 0110, 00100, 110, 10000, 11111, 110010, 110001, 101011, 100, 10, 000001, 100011, 01101, 00001, 001, 1], negative example:[0, 00, 1100, 110, 10100, 011, 000, 0011, 11011, 1010, 1001, 01, 0000, 1000000, 1011111, 1110000, 0101, 01100]"
(a|b)(a|b)+aaa+,[ab]{2}a{3},"positive example:[abaa, baaa, bbaaa], negative example:[aaaa, bbbb, abba]"
b*a*,((a)+|b+a*),"positive example: [aa, bbaa, b, a, ba, baa, bba, bbaaa]  
negative example: [ab, aba, bb, ac, cab, abc, bbb]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)b(a(a|b)b)*,"positive example:[ab, ababba, bb, bbabaa, abab, ababb, abbabbb, abbabb, abaaabab]
negative example:[a, aa, ba, bba, baab, baa, bab, aba, abba]"
(a|b)(a|b)+aaa+,(a|b)(a|b)aaa(a)*,"positive example: [aaaaa, abaaaaa, bbaaaa, baaaaa, baa, aaaaaaa]  
negative example: [aaa, aba, baa, aaab, baaa, cbaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)0*1*(10))*,"positive example:[0101010, 01011010, 0110010110, 01110011010], negative example:[01, 1100, 1010, 0110, 0101]"
(a|b)*baa(a|b)*b,a*(baa)+b+,"positive example: [abaaabb, aabaaabb, baaab, aabaaabbb]  
negative example: [a, bb, aab, ab, bab, abaa]"
(0|10*1)*,0*|((10*1)*),"positive example:[0, 11, 1001, 1010, 1011]  
negative example:[10, 111, 110]"
(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*(a*(bb))*),"positive example:[baa, bbbaa, abbaaba, babbbb, bbbbab]  
negative example:[ab, bba, aaab, abb, bbaaa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(ab)*aaa,"positive example: [abababaaa, baaaa, abaabaaa, baaabaaa, abaaaa, babaaa], negative example: [aaa, aa, a, bbb, bbaaa, ababaaa, bababaa]"
(a|b)(a|b)+aaa+,"(aa|bb)(a|b)*a{3,}","positive example: [aaa, bbaaaa, bbabaaa, aaabbbbbbaaa, bbaaabbbaaa]

negative example: [aaaa, bbaaa, baa, aab, aa, bb, aabbb]"
(0|1)(0|1)*,(0|1)+(0|1),"positive example:[00, 01, 10, 11, 001, 110, 101, 111, 0100], negative example:[0, 1, 0000, 10, 0101]"
(a|(b*bb))*,(a)*(a+bb)*(a)*(bbb)*(bb)*(a)*,"positive example: [aaaabbbba, abbbbbaa, abbaabbba, abbbabbbba, aabbababba]  
negative example: [bbbbbb, bbbabbbbbba, abbbba, baa, abbaabba]"
(0*10*10*)*|0*,(00)*(11)*((01|10)(01|10)),"positive example:[000011111001, 000101, 0110, 00010101, 00011010, 1010, 0110, 0101]  
negative example:[010, 0000, 1111, 0011, 1100, 1001, 1011, 0100]"
(0|10*1)*,(0?)*((1(0?)*1)?)*(0?)*,"positive example: [00111100, 000, 111, 0101, 10101, 000111000, 1011101, 11110111100]

negative example: [11011, 10110, 1110011, 101100, 110101, 010110]"
(a|baa)*,a*(b(aa)+)*,"positive example: [a, aaa, aabaa, aabaaa, baaa, aabaabaa]  
negative example: [b, aa, aba, bab, baa, aabab, aaabaaa]"
(a|b)(a|b)+aaa+,((a|b){2})aaa+,"positive example:[aaaaa, bbaaaa, baaaaa, abaaaa], negative example:[aaa, aaaaaa, abbaaaa, bbbbaaaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10),"positive example: [1, 10, 111, 11111]  
negative example: [0, 11, 101, 1111, 100]"
(0|1)(0|1)*,[0-1],"positive example: [0, 1], negative example: []"
a(a|b)a(a|b)*,(aba(a|b)*),"positive example:[abaab, aba, abaaa, ababb, abaaab, ababbb]  
negative example:[a, ab, ba, bab, aa, bb]"
(0*10*10*)*|0*,10*0*1,"positive example: [101, 1001, 10001, 110, 100011, 1011]  
negative example: [1, 0, 111, 000, 1100, 100]"
(a|(b*bb))*,(a*(bb|bbb))*,"positive example: [ , bbbbb, bbbbbb, bbbb, bbb, abbb, abbbbb, aabbb, aabbbbb, aaaaabbb, aaabbbbbb ]  
negative example: [ b, bb, a, aba, abc, abb, ba, bba, aabb, aabba ]"
(a|b)*baa(a|b)*b,[ab]*(baa)b,"positive example:[baab, abbaab, babaa, abaabaa, bbaab, abbaaabaa], negative example:[ab, baa, aab, bbab, abb, bbaaa]"
(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*a*,"positive example: [bbb, , aabb, bbbbbbaa, aabbb, aaaaa, bbbbbb, abba, aabbbbbbaa, bbbabbb]
negative example: [bbabb, bba, ba, abbba, abbbba, baa, bbab, bbbbba, abbbbaa, aba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)(10)*|(1+0*1+)(01)*,"positive example: [0, 00, 11, 101, 110, 0011001010, 010, 100110101, 1]  
negative example: [010100, 01, 10, 101011, 0110, 1001, 1100]"
(a|(b*bb))*,(a|bb)*|a*,"positive example: [a, aa, abb, bba, bbbb, abba], negative example: [b, aaaabbb, ba, bbbba]"
(0|10*1)*,((0*)1(0*)1(0*))*,"positive example:[1010, 010101, 001100, 0110, 110110, 1001]  
negative example:[0, 110, 1011, 100, 111, 01011]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|(0+1*0+)*|(1+0*1+)*,"positive example: [1, 01, 1001, 00011, 101, 0, 0001000, 110111]
negative example: [00, 1110, 01010, 10101, 11, 001]"
(a|b)*baa(a|b)*b,(ab*)+(b+b+a)+(ab*)+(b),"positive example:[abbaabbbbaabb, ababababbb, ababbbba, abbaaaabb, abbbabba]
negative example:[abaabbba, bbbaa, aabbb, abb, babbab]"
(a|baa)*,(baa+)*|a*,"positive example: [aa, baaabaa, a, baaa, aaaa, baa, baaabaaa]  
negative example: [b, aab, ba, ab, bba]"
(a|baa)*,"(a)*ba{2,}|a*","positive example: [a, aa, aaa, baa, aabaa, a, abaa]
negative example: [b, ba, aab, ab]"
(a|baa)*,(a*baa(a)*)*,"positive example: [ba, baaa, baa, baaabaa]  
negative example: [ab, abaa, aabaaa]"
(a|baa)*,(a*b)aa+,"positive example: [baaa, aabaa, abaaa, aabaaa, abaa, abaaaa, baa, abaa, aaa]
negative example: [ba, b, ab, a, bb, abba, aa, aba, baaab]"
(a|b)(a|b)+aaa+,(a+|b+)(a+|b+)(aaa+),"positive example:[bbaaa, aabaaaa, aaaaa, baaaa, abaaaaa, aabaaaaa]  
negative example:[aaaa, aaabaaa, bbaaabd, accaaa]"
(a|b)*(bab)(a|b)*,(a|b)*bab(a|b),"positive example: [ababab, bababa, abababb, bbabbaba, ababbabb]  
negative example: [baa, babba, aba, abba, bbb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11|111|110|100|000|001|011,"positive example:[100, 111, 001, 01, 00, 11, 10, 000, 011, 110]  
negative example:[0, 101, 1110, 0000, 0111, 1101]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*,"positive example: [aab, bbbbb, ab, bbaab, ba, ababab, aabab, bab, bbbbab], negative example: [baaa, aa, babaa, abba, bbba, a, aaab, baa, abababa]"
0*10*(10*10*)*,1(11)*0,"positive example:[10, 1110, 111110, 1111110, 111111110], negative example:[1, 0, 110, 1111, 101]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)?,"positive example: [aab, bb, ababba, ab, babba]  
negative example: [abab, b, aa, ba, a]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110),"positive example:[101001, 1010111, 10011, 00111, 000010, 010101, 10110, 000111, 00100, 11111, 010, 001000, 111000, 1110, 10101, 01011, 1101, 111101, 1010100, 100001, 1010001, 0001, 01, 110010, 111, 100000, 11001, 1010010, 111110, 001100, 11010, 000001, 1011110, 011111, 110001, 010110, 01101, 111011, 110011, 010001, 01110, 011010, 100011, 011100, 0111, 100110, 110111, 010000, 100, 101100, 001011, 00010, 10000, 1011, 11100, 100101, 101111, 001101, 110100, 000100, 111010, 1011101, 0010, 111001, 100000, 001110, 110001, 10010, 1111, 111110],negative example:[0, 11, 1010, 1001, 110, 1011111, 01010, 1001011, 1010101, 111111]"
0+1*,01*,"positive example: [0, 01, 011, 0111, 01111], negative example: [1, 10, 001, 110, 100]"
(a|b)(a|b)+aaa+,(a|b){3}(a|b)*aaa+,"positive example: [abbbaaaa, bbbbaaaa, abbbaaa, baaabaaa, bbaaaaaa]  
negative example: [aaa, bbaaa, aabaaa, babaa, b]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)|((1*10*11*)*)|((0*01*00*)*),"positive example: [0, 1001101, 101, 0010, 0100110, 1, 0100, 1110, 1100, 000, 0001, 111]

negative example: [011011100, 100100011, 00110, 0111001, 101001, 11101, 010010]"
a*(ba*ba*ba*)*,a*ba*ba*b,"positive example:[abb, abab, aababa], negative example:[aa, bbabb, aabbb]"
(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a|bb)*,"positive example:[a, bb, abba, bbabb, abbbabb, abbabbbabbb, abbbabbbabb, bbabbbbabb, abbabbbabbbabb]  
negative example:[b, abbb, bbba, aba, ba, bbbab, abababab]"
(b|(a*aa))*,b*aa*ab*,"positive example:[baaab, aaab, bab], negative example:[a, bba, abba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*),"positive example:[, 0, 1, 00, 101, 101101, 010, 01010, 01, 101010]
negative example:[10, 11, 001, 110, 100, 0101]"
0*10*(10*10*)*,(0*(10*1)*0*(10*1)*0*10*),"positive example:[0011001101010, 101001101000, 10101010]  
negative example:[101010101001, 111110110, 0101011101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(01*0)*1)*|(0*(01*0)*0*)*|(0(10*1)*0)*|(1*(10*1)*1*)*,"Positive examples: [110011, 00100, 1011101, 010010, 111, 0000]

Negative examples: [111100, 1010010, 0110, 10000, 11010]"
a(a|b)a(a|b)*,a(a|b)a,"positive example:[aaa, aba], negative example:[aa, bb, baa, abb, bbb]"
(a|(b*bb))*,((a*)+(bbb*a*))*,"positive example:[, abb, bbabbb, bbb, aabbbb, aababbbba, bbbbb, a, abbb, bba], negative example:[abab, bbaa, aab, aaa, baa, bab, bbbaa, abbba, bbbab, bb]"
(a|(b*bb))*,(a*(bbb*)*a*),"positive example:[, aabbaa, aaa, abbbba, abba, aaabbb, bbb, a, bbba]
negative example:[bbabba, ababab, ba, abab, bbaaa, abbbab, baa]"
a(a|b)a(a|b)*,(aaa)|(aba),"positive example:[aaa, aba],negative example:[a, aa, ab, baa, bab, abc]"
(ab|ba)*,((ab)|(ba)),"positive example:[ba, ab],negative example:[a, aa, bb, b, aba, baa, aaa]"
(a*ba*b)*a*ba*,[a]*b(([a]*b){2})*,"positive example: [b, ab, aab, aabab, aababab, aabababab, ababab, abab, bb, bab, babab, aabb, abb, aababababab]
negative example: [a, aa, aaa, aba, baa, ba, abababa, bba, bbb, aab, aaab, abba, abbb, ababa, aabababa]"
(a*ba*b)*a*ba*,a*(ba*b)*ba*,"Positive examples: [b, aba, aabbba]

Negative examples: [a, baa, abbb]"
(a*ba*b)*a*ba*,b((a*)(bb))*,"positive example:[b, bbbbb, babb, bb, babbbb, babbabbb], negative example:[a, ab, ba, bba, abb, bbab]"
(a|baa)*,a*((baa)*)|a*,"positive example: [aabaa, baabaa, a, aa, aaa, aaaaa, baabaaa, aaaaaa, baabaaaabaa, aaaa]
negative example: [b, baaabaa, bbaa, bbaaaa, ba, baa, baaaba, aba, ab, bab]"
(0*10*10*)*|0*,0*|(0?10*10*)*,"positive example:[0, 10, 010, 01010, 000, 1010], negative example:[1, 011, 110, 111]"
(a*ba*b)*a*ba*,a*b(ba*b)*,"positive example: [ab, aab, bbbbb, b, bab, aaab, baab]

negative example: [bb, aba, baa, aa, aaaba, abb, babab]"
(a|baa)*,((a)*baa+)+,"positive example: [baa, baabaaa, baaa, baabaa, baabaaaa, baabaaabaa]
negative example: [a, b, ab, baaab, aabaa, babaa]"
(0|10*1)*,0*|(0*10*10*),"positive example:[, 0, 00, 11, 001100, 01010, 000100, 00100100]  
negative example:[1, 101, 010, 111, 011]"
b*a*,a*|(b*a+),"positive example:[, a, aa, aaa, ba, baa, bba], negative example:[b, bb, aba, abb]"
(0*10*10*)*|0*,0*|(10*1)*,"positive example: [0, 00, 101, 1001, 101101, 100111, 1111]  
negative example: [1, 11, 110, 1010]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*,"positive example: [b, abb, aabba, abba, aaabbabba, bbaabba, bbbbb]
negative example: [a, ba, aaa, aba, bab, aab, babaa, aabbb]"
(a*ba*b)*a*ba*,a*ba*(ba*b)*,"positive example: [b, aba, aab, abab, babab]  
negative example: [a, abb, baab, aa, bb]"
(0*10*10*)*|0*,(11)*|0(11)*|(11)*0|0*|(101)*,"positive example: [00, 01111, 101101, 11110, 1111, 0, 101, 1111, 111111, 010101, 0, 101101101, 1110]
negative example: [1, 110, 10, 111, 100, 1010, 010, 11101]"
0*10*(10*10*)*,(0*(10*1)*0*10*),"positive example:[1001, 01010, 110100], negative example:[111, 1011, 011110]"
a+b,(a)b,"positive example: [ab], negative example: [a, b, aa, bb, ba, abb, bba]"
(a|(b*bb))*,a*bb+bba*,"positive example: [aabbbbb, bbbb, abbbbaa, abb, abba, bbba, bbaa]
negative example: [bbb, ba, aa, abab, bb, aba]"
(a|baa)*,"(a+|(b{1}a{2,})+)+","positive example:[a, aaa, baa, baaa, abaa, baabaa]  
negative example:[b, aa, aba, bba, ab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1((1+0+1)|(01))*)|(0+1+0((0+1+0)|(10))*),"positive example: [1, 0, 101010, 111, 0000, 1010100101, 01010, 000111]  
negative example: [10, 110, 0001, 0110, 1100]"
0*10*(10*10*)*,(0*(11)*10*),"positive example:[0010, 1111100, 1]  
negative example:[000, 101, 1100]"
(ab|ba)*,(ab)*(ba)*,"positive example:[, ab, abab, abba, ababbaba, abababba], negative example:[ba, b, a, aab, abb, baabba]"
(a|baa)*,"([a]+)|(b{1}a{2,})","positive example:[a, aa, aaa, baa, baaa, baaaa], negative example:[b, bbb, bba, ba, ab, abba]"
(a|(b*bb))*,a,Please provide the regular expression that you would like me to generate examples for.
(a*ba*b)*a*ba*,a*b(a*bb)*(bba*)*,"positive example:[ab, abb, aabbb, babba, babbabba, aababb], negative example:[ba, aab, abbb, baba, abab, bbba]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))?,"positive example: [aab, bb, ababba, ab, aaba, abab, bba, ba, aa, aba, baa, aabaa]  
negative example: [aababa, b, aaa, bbb, abaa, abbab, bab, aaaa, abba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010], negative example: [0, 00, 000, 101, 110, 011, 1010, 0011]"
(a|(b*bb))*,a*(bb+)*a*,"positive example:[, aa, abb, bbaa, bb, aabbbaa, bbbaabb]
negative example:[bab, bbabba, abab, bbb, aba, baa]"
(a|b)*baa(a|b)*b,[ab]*(baaa*)+b,"positive example:[abbaaab, baabab, abbabaaaab],negative example:[a, bb, baa]"
(a*ba*b)*a*ba*,(b)((a)*(bb)*)*,"positive example:[b, ba, bbb, babb, bbba],negative example:[a, ab, baa, aab, bba]"
(a|baa)*,(a)*(baa)*(a)*(baa)*,"positive example: [a, baa, aaa, baabaa, aabaa, aabaaabaa, baaabaa, aabaaabaaaa]  
negative example: [b, ab, baab, aaba, baaab, abaaa, baaa]"
(a|baa)*,(a*(baa+)a*)*,"positive example:[, baabaa, baa, baabaaa, baaabaa], negative example:[a, ba, aaa, abab, aa]"
(a|baa)*,(a)*|((b)(aa))*(a)*,"positive example: [a, aa, aaa, baaa, baabaa, baabaaaa, baa, baabaa]

negative example: [b, ab, bab, ba, baaab, baabaaa]"
(a|(b*bb))*,(a)*(bb|bbb)*(a)*,"positive example: [a, bb, bbb, abba, aabbbbaa, aabbb, bba, aa, aaa, abbbba]  
negative example: [b, abab, aabbba, ababb, bbaaa, ab, baa, abbbabaa, bab, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(1|0)*1),"positive example: [11, 00, 1101, 000, 0010, 1011, 010, 111, 0110, 1010]  
negative example: [0, 1, 10, 01, 101, 100, 011, 1001, 0101, 1100]"
(a|b)*(bab)(a|b)*,(bbab)*(a+b)*bab(a+b)*(babb)*,"positive example: [bbabbab, bbabbbabababbabbabbbabb, abbababab]  
negative example: [ababab, babb, bbbbba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000),"positive example:[1, 11111, 100, 01, 1011, 1101, 1110, 1000, 10110, 11010, 001, 010, 0111, 10101, 00001, 00111, 01110, 110111, 111011, 111, 10, 0001, 100110, 00010, 0010, 01000, 110100, 111000, 101100, 101111, 10011, 10000], negative example:[00, 011, 101, 11, 000, 1111, 0101, 1010, 110, 1001, 0011, 0000, 1111, 11011, 10101, 00101, 10010, 01101, 01010]"
(a*ba*b)*a*ba*,(a|bb)*b,"positive example: [b, ab, bbab, abb, abbb, babb], negative example: [a, bb, bbb, aa, baa]"
0(0|1)*0,0+(0*1*)0+,"positive example: [000, 00100, 000100, 0001100, 0011100], negative example: [0, 010, 0110, 01010, 011110]"
0*10*(10*10*)*,1(11)*,"positive example: [1, 111, 11111, 111111, 1111111], negative example: [11, 1111, 11111111, 111111111, 0]"
(0|1)(0|1)*,(0*1+)+(1*0+)+,"positive example: [01010, 0110, 00011100, 110, 0100]  
negative example: [1, 0, 011, 00, 1010]"
(a|(b*bb))*,(a+bb)*a*,"positive example: [a, abb, abba, abbabb, abbaa, abbabba, abbabbaa, abbb, abbabbba]

negative example: [b, aa, aab, ab, bab, abab, ba, abbbba, bbb]"
(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*)aaaa*,"Positive example: [aaaabaaa, bbbbaaa, baaaa, abbaaa, abaabaaa, bbaaabaa]
Negative example: [aababaaa, aaaa, aabaaa, bbba, ababaaaaa, bba]"
(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*(a*),"positive example: [baa, bbb, aaabbbbaaa, abbba, baaabbaaa, abbbaa]  
negative example: [abaa, abbbb, aaabbab, bababbb, abba, bbbba]"
(a*ba*b)*a*ba*,(a*)(b)(a*|(b(a*)b))(a*),"positive example:[ba, aaba, bbaabb, aaabbaa], negative example:[abb, baa, bbab, baaabb]"
(b|(a*aa))*,(b*aa+b*)|(b*a+ab*)|b*,"positive example:[, b, bb, aaa, ab, bbbbb, bbaab, aabbb], negative example:[aabaab, a, baa, aaaaa, abab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|((a|b)a*b),"positive example:[baab, ab, , ababba, abab, aabab, bbaab, aaab, babba, aaababa], negative example:[b, aaa, baba, bb, a, ba]"
(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*)aaaa*,"positive example: [bbbbabaaaa, aaaaabaabbaaaaa, abaaa, baaaa, aaaaaa, abaabbababaaaa, aabaabaaaa, baaabaaa]
negative example: [aabababaaa, aaaa, aaa, bbaaaaaa, ababab, baa, aaaaa]"
a(a|b)a(a|b)*,(aba)+(aaa),"positive example: [abaaaa, abaabaaaa, abaabaabaabaa, abaabaaabaa, abaabaababaaaa], negative example: [aaa, aaaaaa, baaa, abaa, abaaa]"
1*(01*01*01*01*)*,(1*(0000)*1*)*,"positive example: [ε, 1, 0000, 000010000, 1110000111, 10000001, 10100001]

negative example: [0, 10, 001, 100, 00001, 011, 000010, 101]"
(a|(b*bb))*,(bb)*|a*|(bb)*,"positive example: [bb, a, aaaa, bbbb, aaaaaa, bbbbbb, ab, aaabbbb, bbb, aaa]

negative example: [b, aba, abab, baa, bba, bab, aaab, ba, bbaaa, abbb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001], negative example: [0, 11, 110, 101, 011, 000, 1111, 1001, 0010, 1010]"
(a|(b*bb))*,(a*(bb|bbb)a*),"positive example:[bbba, abba, aabbb, abb, baa], negative example:[b, aba, aaa, ba, bbaa]"
(a|b)*(bab)(a|b)*,a*b*a*(bab)(a|b)*,"positive example:[bab, aababbab, aabab, abbabab, ababab, bbbbab], negative example:[baabaab, bbab, aaaa, bbaa, ababa, baa]"
(a|(b*bb))*,a*bb(b)*a*|a*,"positive example: [bbaa, bbbb, aabbb, , aa, abb, abba, bbb, a, aaaa]  
negative example: [b, bbbbb, ab, ba, bab]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*(aaa),"positive example:[bbaabaaaaa, abaaa, babaaa, aabbaaa, aaaa, bbbaaa, abbaaa, bbababaaaaa],negative example:[aababaaa, aaaa, aabaaa, bbaa, ababaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|(1(0*1*)1),"positive example: [11, 0100, 100111, 000, 101, 00, 111, 010110, 00100, 110011]
negative example: [0, 10101, 1, 010, 1000, 1111, 001, 1110, 011, 0000]"
0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example: [1101011, 10111011, 110110011, 11111001, 011011101, 1110011111, 1101100, 101110110, 010110111, 111100111]

negative example: [1101101, 10111011, 111110111, 001101011, 011111011, 00110, 010101, 1101101101, 101110, 011011]"
(a*ba*b)*a*ba*,a*b(a|(bb|bab))*,"positive example:[ab, aab, abab, ababab, bab, aababab, babbab], negative example:[a, ba, bba, abbb, babab]"
(a|(b*bb))*,(bb)*(a)*(bb+b)*(a)*(bb)*,"positive example: [bbbbaa, a, bbbb, bbbbaabbbbaabbbb, bbbbaabbbb]
negative example: [abbbbabbbba, abbbb, babba]"
(0*10*10*)*|0*,(10*1)*,"positive example: [11, 101, 1001, 100011, 10001], negative example: [0, 1010, 110, 10010, 0101]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(00)|(01)|(10)|(100)|(010)|(001)|(110)|(001)|(101)|(111),"positive example: [00, 01, 10, 100, 010, 001, 110, 101, 111]  
negative example: [0, 11, 000, 011, 0010, 1010, 1110]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001),"positive example:[111, 10, 1011, 000001, 110100, 1, 101111, 010, 00010, 1110, 100000, 00111, 10011, 100110, 0111, 001, 000100, 1101, 110010, 001110, 01011, 010010, 011111, 00001, 1000, 010000, 001000, 001101, 110001, 101001, 111101, 100011, 10000, 000111, 11001, 110111, 10101, 011100, 01101, 001011, 0001, 011001, 0100, 100101, 10110, 111110, 11010, 111000, 00100, 01001, 11111, 101111, 010101, 1010001, 000010, 11001, 011010, 0010, 000010, 010110, 101010, 1101, 01110, 111011, 110100, 00100, 11100, 010, 011111, 01]

negative example:[0, 110000, 111111, 000000, 01, 011000, 101011, 110110, 000101, 101101, 000011, 1001, 11110]"
(a|b)(a|b)+aaa+,(a*b){3}aaa,"positive example: [aabbaaabaaa, abababaaa, bbbaaa, baaabbbaaabaaa]  
negative example: [aaabaa, aabaaaa, bbbbaaa, bbaaa, aaa, abbaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)(a?),"positive example: [bba, aaab, ab, aba, bb, aa, baab]  
negative example: [abaa, a, b, aab, abb, bab, aaaba] "
(a|baa)*,(a*)+baa,"positive example:[abaa, aabaa, aaabaaa, baaa, aabaaa]  
negative example:[aaaa, abaaab, ba]"
(0|10*1)*,(0|11)*,"positive example: [ , 011, 0, 110, 0011, 110011, 1110]  
negative example: [1, 10, 111, 101, 1101, 1011]"
