Short Description,regex,Attempt Regex,ChatGPT Output
Odd number of b's,(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*,"positive example:[aa, , bb, b, aab, aba, ba, bba], negative example:[a, abaa, bbaa, aabb]"
Length 1 or More,(0|1)(0|1)*,(1|0)*|(0|1)*,"positive example: [00, , 11, 1010, 0101]  
negative example: [01, 110, 0011, 12]"
Odd number of b's,(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*,"positive example: [aa, abba, aba, ab, aabbb, a]
negative example: [abbb, bba, baa, baba, abb]"
At least one a followed by one b,a+b,a*b+,"positive example:[ab, abb, aab, aabb, aabbb],negative example:[aa, baa, abab, b, abaa]"
Every b followed by two or more a's,(a|baa)*,(a|b(aa*))*,"positive example: [baba, aaba, baa, aaaa, baaaa, baaabaa, abaa, b, a, aa]  
negative example: [bba, baabb, bbbbaab, bab, aababb, aba, bb, aaaab, ab, abba]"
At least one a followed by one b,a+b,a*b*,"positive example:[a, aa, b, ab, aab, aabb, bbb, abb, aabbb],negative example:[ba, bbba, bab, aabaaabba, aab*a, b*a]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*,"positive example:[0, 10, 110, 111, 0001001],negative example:[01, 1112, 0002, 1100a, abc]"
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*,"positive example:[ab, ba, abab, a, b, aa, bb, aba, baa],negative example:[aaa, bbb, aabb, babb, cc]"
non isolated 'b',(a|(b*bb))*,(a|(b*bb*))*,"positive example: [aa, , bb, a, bbb, ab, bba, bab, abb, bbbb]  
negative example: [ba, aba, baa, aaa, babb, c, ac, bbc]"
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*,"positive example: [ab, ba, b, a, abab, baba, aabb, bbba, abba, babb, ,, aba]  
negative example: [abaac, ca, bc, aabbbz, jab, ba!, bb#, aab]"
Odd number of 1s,0*10*(10*10*)*,((0|1))*,"positive example:[0, 1, 01, 10, 0011],negative example:[2, 012, abc, 1102, I01]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa),"positive example:[aaaa, aaaaaa, babaaa, bbbaaa, abbaaa, abbbaaa],negative example:[bba, aab, baa, bbb, aabb, abb, bbbaa]"
non isolated 'b',(a|(b*bb))*,(bb)*(a|b)*(bb)*,"positive example:[aa, , bb, bbbbb, abab, abb, ab, bbaa],negative example:[bba, baa, abba, bbbab, abbba, bab]"
even prefix,(ab|ba)*,(a+b|b+a)*,"positive example: [ab, ba, abab, baba, aabb, bbaa, abababa, bababab, abba, baab]  
negative example: [bb, aa, aba, baa, abaa, bba, abb, babb, aaba, abbb]"
At least one a followed by one b,a+b,(a|b)*(ab),"positive example:[ab, bab, aab, bbabab, abbab, abab], negative example:[ba, aa, bbb, babbb, aaba, bba]"
even prefix,(ab|ba)*,(aa|ab|ba|ba)*,"positive example:[aa, baba, , baaa, ab, aaba, aaaa, abba, baab, ba, abab]  
negative example:[aaa, abb, babb, aba, bab, bbaabba, bbb, aab, baa, abbb, aabb]"
At least one a followed by one b,a+b,(aa*b)*,"positive example:[, ab, aab, aabab, aaab, aaabab],negative example:[abb, bbbab, baa, aaaba, bab, aabba]"
non isolated 'b',(a|(b*bb))*,(a|((b|bb)+))*|a*,"positive example: [aa, a, bb, bbb, aab, ab, aaaa, bbbb], negative example: [ba, bab, baaa, abba, bba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*1*)*0*,"positive example:[0, 1, 01, 0011, 000, 111, 00011, 1100],negative example:[10, 101, 1101, 1001, 11a, 01b, 0 1, 1110]"
At least one a followed by one b,a+b,(a*)+b,"positive example:[b, ab, aab, aaab, aaaab],negative example:[a, aa, aaa, ba, aba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example: [00, , 11, 010, 101, 00110, 11001, 0110, 1001]  
negative example: [001, 110, 111, 0101, 1010, 00011, 11100]"
even number of 1's,(0*10*10*)*|0*,0*(0*1+)*0*,"positive example:[0, 01, 101, 110, 111, 0000, 0011, 1110],negative example:[10, 100, 11, 0a0, 12, 0001100]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)+,"positive example:[aaaaaaa, babaaaaa, ababaaaa, aaaaabaa, bbbaaaa, aaa],negative example:[abba, aabaab, baaaabab, bba, aaaab, baaa, abaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)*,"positive example:[aaa, aaaaaa, baaabaaa, aaab, baaa, aaabaa], negative example:[a, b, ab, ba, abab, bab]"
even prefix,(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"Positive example: [aa, , bb, aba, baba, abab, aaaa, bbbb]

Negative example: [aaa, bbb, aab, abb, aaaaab, bbbba]"
even prefix,(ab|ba)*,(ab)*(ab|ba|aa|ab)*,"positive example:[ab, aa, baba, , baaa, aaba, aaaa, abba, baab, ba, abab, ababab, abaa, ababa]  
negative example:[aaa, abb, aba, bab, aab, baa, bbbbab, bbaa, bba, bbb, bb]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b,"positive example: [ab, baa, bbbaa, aab, aaaaabab, bbbaaab]  
negative example: [aaba, bbb, aba, baaa, baa, aababaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*,"positive example:[0, 10, 111, 000, 101, 110, 0110], negative example:[01, 0010, 11100, 0101, 1010, 1001, 1101]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*,"positive example:[a, b, aa, bb, ab, ba, aab, bba, aba, baa, abb, bab, aaa, bbb, aaba, baba],negative example:[c, abac, baabac, abc, bcb, cab, caa, bcc]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*,"positive example:[abaaabaa, babaabaa, abbaabaa, abbbaaa, aababaa, bbbaaa, abaabaa, aabaabbbaa, baaaabaa, abbaa],negative example:[aabbb, bbbb, ababb, a, ba, aba, baa, babb, aaabab, bbaabaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+,"positive example: [00, , 11, 111, 110, 11011, 000, 00100, 10101]  
negative example: [10, 1110, 00101, 10100, 0101]"
Odd number of b's,(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*,"positive example: [b, bb, bbb, bbab, babb, a, ba, aba]
negative example: [c, ababa, babbab, baa, aab]"
Three Choices (Regex),001|1010|110,1*0*01*0*,"positive example:[1010, 110, 000010, 11111, 1001000],negative example:[10, 0011, 00011, 11101, 111000]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*,"positive example:[, 0, 00, 000, 111, 101, 1100, 010101, 1001001, 011110]
negative example:[1, 01, 10, 1110, 00110, 10100, 110011, 011001]"
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))+,"positive example:[100, 0100, 110, 1000, 010], negative example:[00, 1100, 000, 01, 1110]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a|b)*,"positive example:[a, aa, aaa, bba, babab, aab],negative example:[b, ab, baaa, c, bc]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b|(a*b*)*aaa,"positive example: [baaa, babaaa, aababaaabbbaaa, aabaaabaaa, aabaaaaabaaa, bbbaaa, bbaaa, b, aabbaaa, abbaaa]

negative example: [baba, abb, aa, , bbaaaaab, bbaaba, bbaaaba, bbaaabb, baa, bbbbab, bbaabb]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*a*)*,"positive example:[b, baa, aba, abab, aabbaa, bbaaa]
negative example:[aa, aaaa, ab, aab, abb]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*,"positive example:[babaab, baabba, , bababa, abba, aabb, aaaa, bbaaaa, bbaabb, bbbbbb, bbbbaa, bbbb, bbaa, baab, abab, baba, baabab]  
negative example:[a, b, abbba, abaaa, aaaba, abaab, aaabb, aabaa, aabab, abbbbaabb, baabb, babaa, bbaab, bbbbb, bbaaa, bbbba, baaba, babab]"
first and third,a(a|b)a(a|b)*,(a)(a|b)*,"positive example:[a, aa, ab, aab, aaa], negative example:[b, bb, ba, bba, ]"
At least one a followed by one b,a+b,(a|b)*b,"positive example:[b, ab, abab, bb, bbab, abb, aab, aaab]
negative example:[a, aabba, bbbaa, abaa, aaa, ba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b,"positive example:[bbab, ababab, baaab, abaabab, baab, bbbaaab],negative example:[ab, baaabbb, aaaa, b, aaabbaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|ba*)+b,"positive example: [ab, bab, abaab, aabab, baab, aaab, baaaab]  
negative example: [aa, abab, bbb, bbab, aaaa, baa, abb]"
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*,"positive example:[aa, , bb, abba, abab, baab, baba, aaaa, bbbb], negative example:[aaa, bbb, ab, ba, aabaa, bbabb]"
even prefix,(ab|ba)*,(ab|aa|bb|ba)*(a+b)*,"positive example:[, bb, ab, aabab, aabbab, aabaab, aabbbb, aaab, abbb, abba, aaaa, baab, bbbb, abab, bbab, baba, aaba, aabbba, ba]

negative example:[abb, aaa, bba, bab, baa, bbb, aaaba, aabba, aababbb, aabbb, aabaaabbb]"
At least one a followed by one b,a+b,a+b*,"positive example:[a, ab, aab, aaab, abbb, aabbb],negative example:[b, bb, ba, aba, bbb, aabba, aaaba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*,"positive example:[abba, aabab, aabbaa, bbaaba, aababa, abbaa, baaabb, baab, bbaabab, abab, abaaba, baababb, aabbaab, bbaa, abaabab, baaabab, ababab, bbaaabab, abaababba],negative example:[abbba, abaaa, bbabba, aaabba, abb, bbabaaa, aaaa, bbbba, abbaaaa, bbaaaabb, baaaa, aabbb, babaa, baaaaa, abbaaa, bbbaaa, abbbb, aabbbaba, baabba]"
Odd number of 1s,0*10*(10*10*)*,0*1(11)*(0|1)*,"positive example:[011, 0111, 101, 000110, 1110, 00011, 0110, 111111, 1111111],negative example:[01, 00, 111, 10, 000, 1111, 0, 110]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*,"positive example:[a, b, ab, aba, bab, aab, ba, aa, bb, abb, abab, babab]

negative example:[aaa, baaa, bbb, abaa, bbaa, abba, aabb, abaaba, abbba, babba]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|(ab)*b*a*,"positive example:[a, abb, ab, aaaa, bbba], negative example:[bbbab, aab, abaab, babaa]"
Every b followed by two or more a's,(a|baa)*,a*(b+aaa*)*,"positive example:[, b, aa, aab, ab, ba, baaa, aabaa, ababaa, aaabbaaa]  
negative example:[bb, aaab, bab, abba, abaaa, aababaa, bbbbaa, abaaab]"
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*,"positive example: [aa, bb, aaaa, bbbb, ababaa, bbaabb, abbaba, babbaa, aabbab, baabaa], negative example: [aaa, bbb, aba, bab, aaab, bbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a|b)+)+)aaa,"positive example:[aaaaaabbaaa, bbaaa, abaaa, aabbaaa, baaabaaa, aaaabaaa, aaabaaa, baaaaabbaaa, babbaaa, aabaabbbaaa, baabaaa, babaabbbaaa]

negative example:[bb, babbaa, ab, bbaaaaab, aabbaaaba, bbaaabb, babbaaaba, aabbaa, bbaabb, baba, aaba, bbaaba, abaaba, abaabb, abaaabb, abaaaaab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*,"positive example: [aa, aba, abbaa, ababab, bab, baba, abab, baa, ababa, abaab, baab, abbaabaab, babba, ababaab, abababab]

negative example: [aab, baaab, ab, abaabaa, ababaaa, babaa, abb, bba, aabbaa, baa, aabb, ababaaba, abaa, aabbaba, ababb]"
non isolated 'b',(a|(b*bb))*,(a|b|bb)*,"positive example: [aa, , bb, ab, baa, bba, abb, abab, bbb, abbb]  
negative example: [ba, aaa, bbbba, abc, bbaab]"
even number of 1's,(0*10*10*)*|0*,(0*(1+0*1+)*0*)*,"positive example:[, 10, 00, 1001, 111, 00000, 101001, 0110, 1011110]  
negative example:[11, 010, 100, 1010, 0011, 1110, 1101, 0001]"
contains no 00 nor 11,1?(01)*0?,((1)?(0)?)*,"positive example:[, 1, 0, 10, 01, 1100, 0011, 1010], negative example:[2, 001, 1110, 0001, 11a]"
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba,"positive example:[abbbaaba, abbbabba, abbaba, abbabba, abbaaba, abbaaaba, abbaababab, abba, abbaabbba, baab, abbaabbbba, baba, abbbaba, abaaba, baabba, ab, abbbaaaabbba, abbbbba, abbaabbaab, abbaaaaba, abbaababba, abab, abbaabbaba, baabab]

negative example:[abaababa, aaa, bb, abababbbb, bab, abababbba, ababaaa, aab, baa, abaab, abbbaaa, abbbbbabab, abbbaab, abbb, baabb, baaba, abbaabaa, abaabaabb, ababbaabbb, abaabab, abbaaa, ababbbb, abb, abbbabab, aba, a, abababaab, abababaaa, ababb, abbbabb, abbababb, abaaaabbbaaaaba, ababbbab, abbabb, ababbababb, ababaab, abaababb]"
At least one a followed by one b,a+b,a|b*a*b,"positive example:[a, ab, bbaab, bab, aab, baab, aaaab, bbbab],negative example:[babb, aba, aaa, abb, babaa, aabb, babba, , babbb]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*a(a|b)*|b*a*,"positive example:[aa, a, bba, ba, bab, ab, aba, baab, aab, bbbba], negative example:[b, bb, bbb, aaaa, abbb, abaa]"
non isolated 'b',(a|(b*bb))*,(a|bb*)*,"positive example: [aa, , bb, aab, bab, abbb, bba, aaaa, b], negative example: [aba, bbbab, aabbbba, baaa, ab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*),"positive example:[bbaabbb, aab, aabbbaa, aabbbbb, bbabaabb],negative example:[bbabaab, aabbaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*,"positive example:[, 0, 1, 00, 11, 00000, 11111, 101, 11100, 0011110],negative example:[01, 10, 111010, 11001, 0001111, 11010]"
even prefix,(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*,"positive example: [aa, bb, ab, abab, aaaa, bbbb, ababab, aabaab, baba, abaa, ababbb]

negative example: [aaa, bbb, aabba, abb, ba, abababababaa, bba, bababab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*,"Positive example: [aaaa, aaa, aabaaa, bbaaa, aaaaa, aaabaa, abbbaaa, bbbaaaa]

Negative example: [bbaa, aabab, baaaa, aaabab, baa, abaaaa, abbbab, baaab]"
Every b followed by two or more a's,(a|baa)*,(a|(a*b*(aa)a*)*)*,"positive example:[, a, aa, abaa, aabaaa, baabbbaa, aaaa],negative example:[aabbbaaab, aabbba, baababb, baababaabba, aaaab, abbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa,"positive example:[abbaaa, bbaaa, aaabaaa, abaaa, baaabaaa, abaabaaa, bbbaaa, aaa]  
negative example:[abab, baa, aaaab, abaaab, abb, baaa, aaba]"
Every b followed by two or more a's,(a|baa)*,a*|(a|b)*aa,"positive example: [aa, aba, aaaa, baa, babaa, aabbaa]

negative example: [ab, bb, baaab, abba, bbaaa]"
At least one a followed by one b,a+b,a|a*b,"positive example: [ab, a, aab, aaaab, b, bb, bbb], negative example: [bba, abb, aba, bab, aaaaba, aabb, aaaa, baaabba, ba, abba]"
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*,"positive example:[abb, , ab, baa, bbb, ababb, aaaaaa, aabbbb, aaaa, aabb, bba, baba, baab, abba, aaaabb]  
negative example:[aba, a, aaaaa, aabbb, b, bb, abbaaa, baabbb, aab, abaaa]"
Three Choices (Regex),001|1010|110,001|110|10101|1010,"positive example:[001, 110, 1010, 10101]  
negative example:[, 00, 101010, 101011, 00101, 1000, 00100, 0000, 0001, 1111, 10110, 10111, 10, 11, 101000, 101001, 1110, 00110, 00111, 0, 1, 101, 010100, 1101, 0111, 1001, 1100]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*,"positive example:[bab, abbaab, bbaa, aabb, abbabba, abaa, babbab, aaabab, abababba, ababab, bbbababba, aaba, baa, aab, abbbab, baababba, abbaba, baaab, bababa, bbabab]
negative example:[babaaa, aaabaa, aabaa, baabbbba, ababaabaa, abaabaa, babbba, bbbbba, aaabb, abbaa, bbba, abbbaa, abaaba, bbababaa, babb, baaa, bbaaa, babbbaa, abbab, aaaabab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*b+a*)*,"positive example: [ab, bb, baa, aab, aba, aaabaa, aaabbb, ba, aabbb, b]  
negative example: [aaa, a, abba, bbb, aaaaaa, bba, abb]"
Odd number of b's,(a*ba*b)*a*ba*,([ab](a)*(bb)*)*,"positive example: [a, b, aba, abb, aabb, abbbb, aabbbabb, abba]  
negative example: [aaabb, ababba, aabba, baa, ababab, bab]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/,"positive example: [/#a/, /#b#/, ///a#b/, /#/#a//b#/, ////a///b/]
negative example: [a, b, /a/#/, //#b/a, //##/b#, ////a#ab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa,"positive example:[baaabaa, baaabaaa, aaabaaa, ababaaa, baaaaaabaaa, abaabaa, abaaabaaa, aabaaa, baaaaabaa]

negative example:[aaaba, bba, ba, aabaa, babbaba, bbbb, aaab, baaab, bbb, båab]"
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*,"positive example: [aa, bb, aaaa, bbbb, aab, aabb, bbaa, ab, ba, aaab, bbba, bbaa, aabba]

negative example: [aaa, bbb, a, b, abab, baba, aaaaab, bbbbb, abc, cba, aabbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*|b?)+,"positive example: [aa, a, b, ab, aab, aaa, aba, baa, bba, aaaab, abab, ],
negative example: [ba, bbb, bab, baaa, c, abc, cba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa)+,"positive example:[aaaabaaaa, baaaaaaa, aabbaaa, bbbaaa, abaabaabaabaaa, bbbbbaaa, aabbaabaaa, abaaaaaaa, bbbaaabaaa, aabaaaaaaa],negative example:[aab, baabaa, aaabab, ab, baba, aaaaa, bbabab, bbbb, aabaab, baa]"
even prefix,(ab|ba)*,(aa|bb|ab|ba)*,"positive example:[aa, , bb, aaaa, bbbb, ab, ba, aabb, abab, baba], negative example:[aaa, bbb, aab, abb, baa, bba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*,"Positive example: [00, 11, 101, 110, 001100, 10101, 111000]

Negative example: [0101, 10010, 0110, 1001, 00101, 01010]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|ba*b)*,"positive example:[ab, abb, aabbb, ba, bbaab, aaaabb], negative example:[baba, aabb, bbabab, aaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*)(0*1*)*(0*),"positive example: [00, 11, 0011, 000111, 0000, 111], negative example: [01, 10, 110, 101, 1110]"
Every b followed by two or more a's,(a|baa)*,[a]*[baa]*,"positive example:[aa, aabbaa, baa, aba, b, a, ab], negative example:[baba, bab, baab, aab, bba, aaa]"
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*)),"positive example: [bbbbbbb, abb, abbaabbb, abbbba, baaaabbbbb, bbba, bbbbbbbba]  
negative example: [aa, aaa, aabbbbbbbb, ab, abbbbaaa]"
non isolated 'b',(a|(b*bb))*,(a|(b*b)*)*,"positive example:[aa, , bb, aab, bba, aba, bbbbbb],negative example:[abbbba, c, abc, baab, bbbabc]"
even prefix,(ab|ba)*,(((aa)|(bb)|(ab)|(ba))?)*,"positive example:[aa, , bb, ab, ba, aaaa, bbbb, aabaab, baba, abab, baaabb, abababab, baab]  
negative example:[aaa, bbb, aaaab, bba, abaa, aab, bbaaa]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+(1*0)*)*|(1+(0*1)*)*,"positive example:[, 000, 1, 100, 010, 0000100, 111, 001010], negative example:[101, 00011, 110, 0101, 001100, 1001]."
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*|(baa)+b,"positive example:[a, b, ab, aa, bb, baa, baab, baabaa],negative example:[ba, aab, bab, abba, baabbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*,"positive example:[aaabaaa, aaa, bbaaa, babaaabaaa, ababbaaa, baaaaaa],negative example:[aab, abbab, abaab, aabbab, aaabba, baaabaab]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0)*(0*1*)*(0)*,"positive example:[00, , 11, 01, 0011, 000111, 010, 1001, 1100, 0, 1]

negative example:[101, 1101, 1110, 0110, 00101, 1010, 111, 0101, 1011, 110]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)|((a|b)a*b))*)?,"positive example: [baa, aba, ab, bbabb, aaababa, bab, abaaba, abb, bbb, aba, aababa, bbab, abbaa, ababba, baaba]

negative example: [aaab, ababaa, bbaa, bbababa, abbbaa, bbbaa, aabba, ababbb, babaa, bbbbab, abbaab, bbbaaaa, abaabab, abaabbaa, baabaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaa*,"positive example:[abaaa, aaaaa, aaabaaa, abbaaaa, aaabbbaaa, abbbaaa, aaabbaaaa, aaaa, baaaa, aabbbbaaa, bbaaa, aaaabbaaa, aaaabaaaa, aababaaaa, aaaa, aaabaa, bbbbaaa, bbbaaaa, abaaaaa, aabaaa]

negative example:[abb, bb, bba, ab, aba, baa, aaaba, aaabb, aaaab, aabbb, aabab, aaaabb, aaaaab, aaaaba, abbb, abaab, bbbb, bab, aabba, bbaab, aaab]"
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|(b+a+a))+(a*),"positive example: [a, aaaa, baa, aabaa, aa, aaaaaba, aba, aaaaba]  
negative example: [baaab, abaa, aabba, bbaaa, aabbbaab, bbba]"
even number of 1's,(0*10*10*)*|0*,((0*|1)*(0*|1)*)*,"positive example:[00, , 11],negative example:[101, 010, 1001]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*,"positive example:[baaa, aabbaa, babaa, baaaaabb, abaabbaa], negative example:[aba, bb, ab, baaab, aaab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b,"positive example: [baab, baaab, baaabaab, bbabaaab, abab, baabaaab]  
negative example: [bbaa, baabaa, aabbb, baaaba, babb, bbabaa]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?(0|1)?(0|1)?,"positive example: [000, 001, 010, 011, 100, 101, 110, 111, 00, 01, 10, 11, 0, 1, """"]
negative example: [0000, 1111, 1100, 0011, 1010, 0101]"
contains 'bab',(a|b)*(bab)(a|b)*,(a*b*(bab)*a*b*)*,"positive example:[aa, , bb, aba, baa, bab, abab, bbaa], negative example:[aab, bba, abb, baab, baba]"
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)*,"positive example: [aa, , bb, abba, abab, bbaa, a, b]
negative example: [aba, ab, bab, baa, abbb, bba]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0|1|(0(1*0*)*0)*|(1(0*1*)*1)*,"positive example:[0, 1, 11, 00, 0001, 1010, 01010101]

negative example:[001, 100, 1100, 10101, 0011, 010001]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*,"positive example:[babaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, abbabaaa, bbbabaaa, baabaaa, aaaaaabbaaa, aabaaa, aabbaaa, baaaaabbaaa, baabbaaa, babbaaa, babaaaabaa, baaabaaa, aaabaaa, baaabaa, aaaaaaaa, baabaa, bbaaa]
negative example:[, aaa, baaabb, baa, aaaba, baaaaaba, aaabb, abbab, aaaaaaba, aaaab, aaaabb, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba, abaa, abaaaa, abbbbb, aaaaa, bbaa, babab, aaaaa, aaaa, bbaabb]"
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)+)*,"positive example: [aa, , bb, ab, aabbb, bbbb, abb, a, bbaabb]
negative example: [ba, bba, abba, aabb, bab, baba]"
At least one a followed by one b,a+b,(a|b)+b,"positive example:[ab, bab, aab, bbab, ababab, babab], negative example:[a, b, abbab, baabb, aaabab, bbb]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*(b)(a|b)*,"positive example:[b, ab, ba, bab, abab, bb, bba], negative example:[aaa, aba, aa, baaa, aaab]"
Three Choices (Regex),001|1010|110,(001|1010|110)+,"positive example: [001, 110110, 001101001001, 1010110, 110110001, 0011010, 1101101010, 0010011010]

negative example: [1, 0, 1110, 01, 100, 101, 1100, 10100110, 10001, 111, 1100, 010, 101010]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*0*)|(1*0*1*))*,"positive example: [00, , 11, 101, 0101, 1001, 0110, 010, 1010], negative example: [1110, 0011, 1100, 10101, 10, 110, 011]"
An even number of 1's,(0|10*1)*,(0*1?0*1?0*)*,"positive example:[, 0, 00, 11, 010, 101, 0011],negative example:[1, 001, 100, 110, 111, 0101]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|ba*|b)*a*,"positive example:[ab, aba, abba, aabaa, aabbb, aa, aab, aaba], negative example:[aa, bab, abb, ba, bb, bba]"
Three Choices (Regex),001|1010|110,(001|1010|110)*,"positive example:[001001001, 1010111010, 11010100110, 1010010110, 001110110, 1010101010, 001110, 110110001]
negative example:[101, 000, 1100, 101100, 00110, 001010, 111010, 1101100, 1101011, 101110]"
An even number of 1's,(0|10*1)*,(0*(10)*1*)*0*,"positive example:[000, 1, 1010, 10, 1001, 0100], negative example:[0101, 1110, 110, 10101]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)*|(#/),"positive example: [aa, , bb, /a//, /b//, a, b, #, /#, #/, ///, ///a, /#/]
negative example: [ab, abc, /aa, a//b, #a#, b#]"
