Short Description,regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,((bb)|a)*,"positive example:[bb, bba, a, aabb, bbbb, aa, bbaa, abb],negative example:[baaa, bbb, aabbb, babbab, bbab, babb, aaa, abba]"
even prefix,(ab|ba)*,ab,"positive example:[ab],negative example:[a, b, aa, bb, aba, abb, ba, bab, abab]"
non isolated 'b',(a|(b*bb))*,(a+bbb*)*,"positive example:[abb, abbb, aabb, aabbbb, abbbbab, abbaabb, bbb, aaabbb]
negative example:[b, aab, bba, ababab, bbba, baa, abaab]"
non isolated 'b',(a|(b*bb))*,(a*bbb*)*,"positive example:[abb, bb, , abbbbabb, abbabb, aaabbaabb, bbb, abbb, aabb, bbbb]
negative example:[ab, abbaa, aaabbbbababbab, abbabaaa, abba, ba, bbab, baaa, bba, bbaab]"
even prefix,(ab|ba)*,((ab)|(ba)),"positive example:[ab, ba],negative example:[aaa, bba, , a, bab, b, aab, baa, bbb, abaaa, abbb, abba, ababbab]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*,"positive example:[a, abb, bbbaba, aaabbba, bbba, abba, aabbbaa, bbbab, bab, abbabbb, aaaa, bbbaaa, bbbbb, ab, aabbabbbbba, bba, bbbbbba, aabbbab, bbbaa, bbabaa, bbbbabbbbb, bbab]

negative example:[b, abab, baa, aabab, bbaabab, abbaab, bbabbbabaaa, baaba, abbbbaa, abbbaba, aba, bbaaab, bbbabab, baaa, abbaaaa, ababab, bbabaaa, bababaa, bbabbba, bbaab, bbbaaab, babab]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example: [a, abbb, aaabbb, bbbb, abbbabbbb, aabbbabbbaabbbb, bbabbaaaaabb, abbbbbbba, aab, aa, abbba, aabbbbb, aaabbba, abbbb, aaabb, aabbbabbbbbba, babbbbaa]

negative example: [b, ba, abb, aabba, ab, bbab, bbb, aaabba, aabbbba, abbaaba, bbbabaa, bbbba, abbbba, abaaaa, baaabba, abbbab, abbabab, baaabb, abaaa, baba]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b+bba)*(bb+ba+a+bba)*(bb)*,"positive example: [aa, bbbaabbabbbaaaabba, , bbbaaabbabb, bbbaabbabbbbbb, bbbbaabbabb, bbbaabbabbbbbaabbabb, bbbaabbabbbbaabbabb, bbbaabbabbbaaaabbabb, aabb, bbbaabbabbbaabbabb, bbbabbbbabbabbbbabbbb, bbbbabbbbabbbb, aabbbbbb, bbbabbbbbba]

negative example: [bbbaabbabbbaabaa, bbbabbbaa, bbbbbbab, bbbaabbabbbaab, bbbaabbabbbbaa, aab, bbbaabbabbbbb, bbbabbbab, bbbabbbbabbaaa, bbbabbbbabbabbaa, bbbaabbabbab, bbbaabbbb, bbbaabbba, bbbaaa, bbbabbbbaa, bbbaabbabbbbbbaa, bbbabaa, bbbabab, aabbbbb, bbbaabbabbbaba, bbbabbbbbbaba, bbbaabbabbbabb, bbbaabbabbbbba, bbbabbbbabba, bbbabbbbabbaba, bbbbab, bbbbaa, bbbaabbab, bbbabbbbabbab, bbbaabbabbaa, bbbbba, bbbba, bbbaabb, bbbabbbbbb, bbbabb, bbbabbb, bbbabbbbabbabbab, bbbabbbbabbaab, bbbaabbaababb, bbbaabbaaaa, bbbaabbabaa, bbbaabbabab, bbbaabbabbbbab, bbbaabbabbbaaaabab, ba]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*,"positive example:[a, aa, aabbbbbaabba, bbbabbbbbaabba, bbbaabbabbbbbb, bbbbaabba, bbbaabbabbbbbaabba, bbbaabba, bbbabbbb, bbbabbbbbabbbbbaabba, bbbabbbbbbbaabba, bbbbbbaabba, aabb, bbbabbbbbabbbbb, bbbabbb, bbabbbbbaabba, bbbaabbabbbbaabba, bbbbbaabba, bbbaaaabbabbbaabba, bbbabbbbabb, bbbbabbbbbaabba, bbbaaaabbabb]

negative example:[bbbaabbabbbbbbaab, bbabbbbbaabbabaa, bab, bbabbbbbaabbabab, baa, bbbaabbabbbbaa, aab, bbbaabbabbbba, aabba, bbabaa, bbabab, bbabbbbbaabbabbbaaaab, bbabbbbbaabbaab, bbabbbbba, bbbab, bbabbbbbaabbaaa, bbbaa, bbabbbbbaabbabbbbb, bbbbbbaab, bbabbbbbaabbba, bbabbbbbaabbbb, bbbaabbabbbbba, bbabbbbbaba, bbabbbbbaabbabbbaaba, bbabbbab, bbbbab, bbaabb, bbbbaa, bbabbbaa, bbabbbbaa, bbabbbbab, bbbbba, bbbba, bbabbbbbaabb, bbabbbbbabbaa, bbabbbbbaaa, bbbaabbabbbbab, aabbaaaaba, bbabbbbbaabbabbbabb, bbabbbbbaabbabbaa, bbabbbbbaabbab, bbabbbbbbbabbab, bbabbbbbaabbabbbaba, bbabbbbbaabbabbab]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+b)*(a)*,"positive example:[aa, , bbba, aabbbbb, aabbbbbaaa, bbb, a, aaa, bbbbbaa],negative example:[bbbab, bab, bbbaba, bbbbbab, baa, aab, aabbbaaabbaabb, aabb, bbaa, bbab, ab, babb, bba, abbabb]"
non isolated 'b',(a|(b*bb))*,(bb)*(a)*(bb+b)*(a)*(bb)*,"positive example:[abb, aa, , bb, bbbb, aabb, bbaabb, abbb, bba, bbabbb, bbba, bbabaa, bbabb, bbbabbb, bbbbbaa, abbbaaa, bbbbba, bbbbb, bbabbbb, bbbaa, bbbabbba]

negative example:[ab, bab, abbab, ba, bbbab, bbab, ababaab, baa, abaaa, abab, abbbabaa, abbbabbb, abbbabb, abbaa, abbbbab, abaaa, baab, bbaaab, ababba, bbaabbba, bbbbabba, abbaaa, aabbaba]"
non isolated 'b',(a|(b*bb))*,(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*,"positive example: [abba, abbbbba, aabbbaabba, bbbaaa, abbaabbabbbabbaa, abbbbabbabba, aabbbabbbabba, aabbb, aabbbaa, abbabbaa, aabbaabbaaa, abbaabbabba, abbbbbbabba, abbaabbbab, abbabbbababba, aabbbabbaabba, aaabba, aabaaabba, ababbba, abaa, abbbb, bbaa, abbbaa, abbabbabb, bbbbaa, aabbbabbabbaa]

negative example: [abaaa, abbaabbabbab, aabbaabbab, abbaaba, aabbbbabab, aabbaab, abbaabab, bbbabaa, ababbbaa, abbabb, abbbab, abaaaabba, abbaabababa, abbaba, abbabab, abbbaba, abbab, bbbaab, abbaabbabaa, abbabbaaab, aababba, aaabbaabb, abbabbbabaaa, abbaabbaaaaa, abbaabbba, aaabbba, abababa, ababab, abbb, abbbbaa, aabababba, aabbaabaa, abbbbbaa, bbbababaa]"
non isolated 'b',(a|(b*bb))*,(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*,"Positive example: [abbaabb, abbabbaabbbb, abbaa, abb, abbabbaabbbaabbbba, abbabbbb, aabbba, abbaaa, abbabbaabbaabbaa, abbabbaabbaaabbaa, abbabbaabbaba, aabba, aabbbb, abbabbaabba, abbabbaabbaa, abbabbaaa, abb, abbabbaabbba, abbabbaab, aa, abbabbaabbbabba, abbabbaabb, aaabbaa, abbabaa, abbabbaabba, abbabbaabbbb, abbabbaabbaa, aabbaa, abbabbaab, abbabbaabbaabba, abbabbaaaabba, aabbaab]

Negative example: [bbabbaa, bbaba, baa, bbabbaab, abbaab, bbabb, abbabbaa, bab, bbaaa, abbaaba, abbaabbbb, aab, abbaabab, bbabbb, baabba, bbabbbba, aba, bbaabab, abbaaab, baabaa, aaa, bbaaaa, abbaba, bbabba, ab, bbabbba, babb, bbaabab, aabaa, bbabbaaab, baaab, bbaaab, abbaaabba, bbabbaaa, bbabbaaba, bbabbab, bbbbab, abbaab, ba]

"
non isolated 'b',(a|(b*bb))*,(aabbabb)*(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*(aabbabb)*,"Positive example: [aababbaaabbaa, aaabbaabbaaa, aabbaabbaabb, aaabbaabbabb, aaabbaaabbabb, aabbabbabba, aabbaaabbaa, abbaaabbbb, aabbabba, aababbaaabbbbb]

Negative example: [bbabbabaab, abaabbaab, aabbaaaabbaba, bbabaabb, abbaaabba, bbabbbbbabba, babbaaabb, bbabbbabbaa, aabbaabaaa, abbabbbb]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+bbb)*(a)*,"positive example:[bb, aabbb, aaaa, bbbbbb, abbbaaaa], negative example:[aba, bbbbba, aaab, babbb, bbbbbbbbaaa]"
non isolated 'b',(a|(b*bb))*,((a)*(bb+bbb)*(a)*)*,"positive example:[, a, aa, bb, bbb, aabb, abbba, aabbbbba, aabbbbbabbaa]  
negative example:[bab, bbbaa, bbbabb, abbb, aba, bbbab, baa, bbaabb]"
non isolated 'b',(a|(b*bb))*,(bb+a)*,"positive example:[, bbbba, bbabba, baa, bbbbbba, a], negative example:[aaa, bb, bab, ababb, bbbbab, bbab, ba, ab]"
non isolated 'b',(a|(b*bb))*,(bbb+a)*,"positive example:[, bbbbba, bbbabbba],negative example:[bb, baaaba, babb, bbbaaa, bbbbbab, bbbabbb, bbbaab, bbaa, bbab]"
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)a*,"positive example:[bbba, abbba, aabbbaa, bbbbbbba, abbbbaaa, aaabbbba, aabbbbaa],negative example:[a, ba, abab, aaab, ab, b, bbbbbbb, bbbbbb, bb, bba, abba, bbab, aabbb, bbbba, bbaaa, baaa, aabba]"
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)*a*,"positive example: [aa, , bbbbba, aabbbbbbb, aabbbbbbbaaa, a, bbbba, aaa, aabbbbbba, bbb, bbbbaaaa]

negative example: [bb, baa, aab, bbbbab, bbbbaa, bbaa, bbbb, bbab, bbbab, aaabb, bab, ab, abbab]"
non isolated 'b',(a|(b*bb))*,(a)*(abb+bba+bb)*,"positive example:[abb, aabb, abbbabb, aaabbba, abbabb, abbbba, bba, abbbbabbb]
negative example:[bab, baab, aab, ababab, bbab, abbbaa, abbaa, bbb, baa, abbbbabba]"
non isolated 'b',(a|(b*bb))*,(a(bbb*))*,"positive example:[, abb, abbb, abbbbbb, abbbabbb, abbbbbbabb], negative example:[aaa, aab, aba, abba, abbab, ababab, baa, abbbbbaa]"
even prefix,(ab|ba)*,((ab)+(ba))*,"positive example:[abbaabab, abababab, abbaabbaabbaabba, ab, baabba, ababbaab]
negative example:[bab, aabb, abbaa, babba, aaa, abaaa, ababb, bbaa]"
non isolated 'b',(a|(b*bb))*,a*(b+b)a*,"positive example:[ba, aaaba, abbba, bba, abba],negative example:[aaa, ab, bab, babba, baa]"
non isolated 'b',(a|(b*bb))*,a*|(b+b)|a*,"positive example:[aaa, , b, bb, aaaa, ababababababa, a, bbbaaaabbb]
negative example:[bba, aba, bab, baa, abbbaab, aaab, bbbbab, bbaa, babb, aabab]"
non isolated 'b',(a|(b*bb))*,(a*(bbb*)*),"positive example:[, a, aa, abbb, aab, ab, aabbbb], negative example:[b, ba, bb, baa, abba, bab, bba]"
non isolated 'b',(a|(b*bb))*,(a*(b*bb))*,"positive example: [abb, bb, , abbbbabb, aaabbabb, abbaabb, aabbb, ab, aabb, aabbbb]

negative example: [aa, ab, baa, babbaab, bbbbaaabbaba, ba, b, aaa, bab, bbb]"
first and third,a(a|b)a(a|b)*,aba+a(a+b)*a(a+b)*,"positive example:[abaaaababa, abaaa, abaaababa, abaaabaab, abaaaaaab, abaaaa, abaaaabab, abaaaabaaba, abaaaabaaaab, abaaababaab, abaaabaaab, abaaaabbaa, abaaababaa]
negative example:[aaa, , baa, aab, abaaaabba, abaaaabbb, abbb, abba, abaaaabaababb, abaaababb, abaaba, abaabb, ababa, abaaaabaabb, abaaabbb, abaaaaaabb, abaaabba, a, aba, ab, bbb, ababb, abaa, abaaaabaaaabb, abaaabaabb, abaaaabababb, abaaabaaa, abaaabab, abaaaababb, abaaabababb, ababaa, abaaa, ababb, abab, aba]"
first and third,a(a|b)a(a|b)*,aaa+aba+a(a+b)*a(a+b)*,"positive example:[aaaabaaaabab, aaaabaaaaaab, aaaaaabaaa, aaaaaabaaababaab, aaaabaaaa, aaaabaaabaab, aaaabaaaababa, aaaabaaaabaaaaba, aaaabaaaabaab, aaaabaaabaaab, aaaabaaababa, aaaabaaaab]

negative example:[, aaa, baa, aab, aaaabaaabaaaabaa, aaaba, aaaaaab, aaaabaa, aaabb, aaaabb, aaaabaaaaaabaa, aaaabaaabba, aaaabaaabbb, aaaabaaaabba, aaaabaaabaaa, aaaabaaaabaa, aaaabaaba, aaaabaabb, aaaabaaaababaa, aaaabaaaababb, aaaabaaaabaabaa, aaaabaaabaabaa, aa, abb, aba, a, bbb, aaaababb, aaaababa, aaaabaaabaa, aaaabaaabab, aaaabaaababb, aaaa, aaaabaaababaa, aaaabaaaabbb, aaaaba, aaaabaaaabaaa]"
first and third,a(a|b)a(a|b)*,(aaa+aba+a(a+b)*a)(a+b)*,"positive example:[aaaabaaabaaaabaaaba, aaaabaaaabab, aaaabaaaaaab, aaaabaaa, aaaabaaaa, aaaabaaabaaba, aaaaaabaaaba, aaaabaaabaabaab, aaaabaaabaab, aaaabaaaababa, aaaabaaababa]

negative example:[, aaa, bb, aaaba, aaaabaa, aaaaaabbb, aaabb, aaaaaabba, aaaabaaaaaababb, aaaabaaabba, aaaabaaabbb, aaaabaaaabba, abbb, aaaabaaabaaa, aabb, aaaabaaba, aaaabaaabaabaabb, aaaabaabb, aaaabaaaababb, aaaabaaaabababb, aa, a, aaaabaaabaabaaaabb, aaaab, aaaababb, aaaababa, aaaaaa, aaaabaaabaa, abaa, aaaabaaabab, aaaabaaababb, aaaabaaababab, aaba, aaaabaaaabbb, aaaaba, ba]"
first and third,a(a|b)a(a|b)*,(aaa+aba)(a+b)*,"positive example:[aaaabaaa, aaaaaaab, aaaabab, aaaabababaa],negative example:[aaab, abaa, aaaa, ab, abaaa, aaa, aabaaa, aabaa]"
first and third,a(a|b)a(a|b)*,(aba)*(aaa+aba)(a+b)*(aba)*,"positive example:[aaaabaaba, abaaaaabaaba, aaaabaabaaababa, aaaabaaab, aaaabaababa, aaaabaabaab, aaaaaabaaaaababab, aaaabaabaaba, abaabaa, aaaabaaaabb, abaaaaabaabaabababa]
negative example:[abaaa, abaaaba, ababa, abaaaaabba, abaaaabb, abaaaaba, abaaaabaa, aaaabaaababaa, ab, aaaabaabaaa, abaaaa, abaaabb, abaaaab, abaabaaabb, abbbbb, ababab]"
first and third,a(a|b)a(a|b)*,(aba+aaa)(a+b)*,"positive example:[abaaaa, abaaaaa, abaaaaabab, abaaaaaaab, abaaaaabaaabab]  
negative example:[aaa, , baa, aab, abaaaba, abaaa, abaaaaaaabb, abbb, abba, abaaaaababb, abaaba, abaabb, ababa, abaaaaabbb, abaaaaabba, abaaaabb, abaaaaba, a, aba, ab, bbb, ababb, abaa, abaaabb, abaaaaabaa]"
first and third,a(a|b)a(a|b)*,(aaa)*(aba+aaa)(a+b)*,"positive example:[aaaabaaaabbbbb, abaaaaa, aaaabaaabaaa, abaaaaabaaaab, aaaabaaaabaa]

negative example:[aaab, abaab, ab, abaaab, abaaaaabb, ababab, aabaa, abb, abaabba, abaaaaaaa, aaaaab, abbaaaa, abaa, abaaa, aa, aabb, abbb, aba, abab, abababaa]"
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*(bab)(a+b)*,"positive example: [bab, aababbab, ababbab, babbab, abab, bbaaabab]

negative example: [abab, abb, aaba, abba, bba, baab, babbbb, aabab]"
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*bab(a+b)*(babb)*,"positive example:[bab, babaababb, bababbabb, babbabb, aaababb, babbabbabbabb]  
negative example:[abb, ab, bababb, babbabbab, babbabba, babbabbba, bbaa, baba, baaa, babbb, bababaabb, bababab, babbabaa, ba, babbab]"
contains 'bab',(a|b)*(bab)(a|b)*,(bbab)*(a+b)*bab(a+b)*(babb)*,"positive example:[bbababbab, bbabbab, bababbabb, babaaabab, abbabbabbbabb, ababbabab, aabbab, bbabaab, babbab, ababbab, abababab, ababbab, babababbab]

negative example:[, bb, bababb, abbabbb, abbabbabbaa, abba, abbabbabbab, ababbbbb, bbba, bbaab, bbaaa, abbabbabbbba, abbabbabbbbb, abbaab, abbaaa, aa, bba, abbabbabab, abbabbabaa, b, bbabbaa, ababb, abbababa, abbabbabbba, bbbb, ababbbaa, abab, bbabbaba, babaa, babaaaba, bbaba, abbabbab, abbabbaaa, abbabbaab, babbabba, aababab, baabab, bbabbb, baababbba]"
contains 'bab',(a|b)*(bab)(a|b)*,(b+a)*(bab)(b+a)*,"positive example: [bab, babba, bababb, babbabab, babbbbab, bbbab, abababa, bbababb, babbba, abbab]  
negative example: [ba, ab, a, bb, babbabbaa, babab, bababbb, bababba, bba, abbb]"
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*(bab)(b+a)*,"positive example:[bab, ababab, aabab, bbabab, abbbab, babbabab, aababbab, bababab, abababab], negative example:[aba, aa, bb, baba, abab, bba, abbab, aab, baaa, babbaaa]"
non isolated 'b',(a|(b*bb))*,(a)*bb(a)*,"positive example: [bb, abb, abba, aabba, aabbaa]  
negative example: [aa, aaab, bbb, abbba, ba, abab, aaa]"
non isolated 'b',(a|(b*bb))*,(a)*(bb|bbb)*(a)*,"positive example:[aa, , bbbba, aabbaaa, aabb, aabbba, bba, baa, abba, abbba], negative example:[baaa, bbaaaba, bbabb, aab, bbbbab, aababbab, bbab, babba, ab, bbbabba]"
non isolated 'b',(a|(b*bb))*,(bb|bbb)*(a)*(bb|bbb)*(a)*(bb|bbb)*,"positive example:[bba, bbb, bbbbabb, abbaaabb, aaabb, abbbbabbbb, abba, bbaa, bbbb, a, bbbbba, bbababba]  
negative example:[bbaabbab, bab, b, baa, abaaa, abbab, bbbbabbab, abbabaa, aaab, bbab, abbbbaaabab, abbabbaa, abbabbab, abbabbbba, ababbab, bbbabba, ababbabb, bbabbaa, abaaaabba]"
non isolated 'b',(a|(b*bb))*,a*bba*,"positive example:[bba, abba, aabbaa, bbba, abbaa, abbaaa],negative example:[aa, babb, bbaaba, aabaaaba, bbb, aab, bbbb]"
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*,"positive example:[aa, bbbb, aabbaa, abba, aabbbaaa],negative example:[abb, ba, bbaab, abbbb, bbaba]"
non isolated 'b',(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*a*,"positive example:[bbaaa, aaa, bbbbaa, aabbb, aabbbbb]
negative example:[ab, baaab, bbabb, aba, aabbbba, bbaa, bbbbaab]"
non isolated 'b',(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*,"positive example:[a, aa, aabb, aaabbb, aabbbbb, abbbb, abbbbbb],negative example:[abb, babb, baa, aababbb, bbb, aabba, bbaab]"
non isolated 'b',(a|(b*bb))*,(a*(bb+))*,"positive example:[bb, , abbbbabb, abbaaabb, abbabb, aabb]  
negative example:[aa, bba, abbab, abbbba, abbaaab, abaabbaa, abab, ba]"
non isolated 'b',(a|(b*bb))*,(a*bb+)*,"positive example:[bb, bb, abb, abbbbb, abb, aabb]  
negative example:[aa, ab, bbab, bbbaa, baa, abbab]"
non isolated 'b',(a|(b*bb))*,(a*(bb)b*)*,"positive example: [abb, , bbbbaaabbabb, aabb, bb, aabbb, bbbb, aabbbbabb]  
negative example: [ab, abbabaaabba, abbabab, aaabbbbaa, abba, ba, bbab, ababab, aabbab]"
non isolated 'b',(a|(b*bb))*,(a*(bbb*))*,"positive example:[, bbb, abbb, abbbbbb, aabbbabb, aaaabbbbbbba, abbbabbb]
negative example:[b, ababab, bba, abbba, aa, babbb, aab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*(a|b)a*b,"positive example:[ababaabab, baaababb, babababaaaaaab, babbaaabb]
negative example:[abab, aab, aaaaa, baaba, abaaab, babb]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*(a|b)a*b)?,"positive example:[, bab, ab, aba, baa, abbab, bbaab, aabab, bbabab, aabbaaab]  
negative example:[bba, abaaa, baabab, aaaa, abaaba, bbbab, bbaabba, baabb]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)*)|((a|b)a*b))?,"positive example:[, abaabbaba, aab, baaab, bababa, ab, abaa, baba, abab, baab]

negative example:[aa, bb, aaaa, bbabbabaab, abaabaaaab, abbb, baabab, abbaabba, bbba, bbabaa]"
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+(a*))*,"positive example:[bbb, aaaa, bbba, abbbba, abbbaa]
negative example:[ba, b, ab, babb, bbbbaab]"
non isolated 'b',(a|(b*bb))*,((aa*bbb*a*)+(bbb*a*))*,"positive example: [abbbabba, abbbaabba, abbbbb, abbbba, aaabbabbbbaaabbabba, abbaaabba]

negative example: [bb, abb, a, abbbbabbbbaba, abbaa, abbab, abaa, aaab, abbb, abbbbaaabbababbab, abbbbbaba, abab, abbbabbaba, abbbbabbabaaa, abbbab, abbbaaaba, ba]"
non isolated 'b',(a|(b*bb))*,((aa*bbb*a*)+(a*))*,"positive example:[a, aaabbaaabbbbabb, aaabbaaabbbbabba, abba, aaabbbba, bbba], negative example:[aaabaabbaa, bb, aaa, ab, abbbbaaaba, abbabbab, abab, ba, babb, aabbaa]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*bab(a|b),"positive example:[bab, abbababbab, aababababb, bbbabab, babab, abababbab, babaaab, bbbababba]  
negative example:[babab, aababbba, babba, ababbb, abaabab, aababa, abba, aba]"
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+(a*)+(bbb*))*,"positive example:[bbb, abbbb, abba, a, b, aaabbb, aa, abbbbabbab, bbbba, aaabbbaaabb], negative example:[abab, baab, aab, bb, aba, baaaab, ab, bba, aaabb, baabab]"
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+a*)*,"positive example:[bbb, abbb, abbba, abbbba, bbba, aaabbb, aabbb, bbbbaa, aaaabbbb, bbbba],  
negative example:[bab, abab, aabab, baa, babaa, aaaab, bbabb, aabba, babb, bbaaa]"
non isolated 'b',(a|(b*bb))*,((a*bbb*a*))*,"positive example:[bbb, bbbabbb, bbbabbbabbb, abbbba, bbbbbbba, bbbaaaabbb, aabbbaaaabbbba], negative example:[bab, aaab, ababab, aabbaabbb, bbaaa, aa, ba, bbba]"
non isolated 'b',(a|(b*bb))*,((a*))*,"positive example:[, a, aa, aaa, aaaa],negative example:[b, ab, ba, bb, aab]"
non isolated 'b',(a|(b*bb))*,((a*)+(bbb*a*))*,"positive example: [abb, bb, , aaabbbbaaabbabb, aaabbbbaaabba, bbb, aabbaaabbbba, aabbba]
negative example: [bbabbab, aaa, aba, ab, aaabbab, bbabaa, bbbbaaababaabb, ba, bba, aabab]"
non isolated 'b',(a|(b*bb))*,((a*)+(bbb*))*,"positive example: [abb, bb, , aaabbbbabb, abbaabb, abbabb, aabbb, aab, abbabb, bbb, abba, abbbb, aaaabb, a, aaaabbba, ab, abbbbaabba, abbba, aaabbbbbb]

negative example: [aa, bbaba, abbab, abbbba, abbaaab, abaa, ababaabb, ba, bba, aaba, abbbaa, bbbab, aaaa, baba, aaab, ababb, abab, abbbbba]"
non isolated 'b',(a|(b*bb))*,((a*bb)+(bbb*a*))*,"positive example:[bbbbabb, bbba, abbba, bbbaaabbba, bbbb, aabbb, bbbbabbbba, bbbabbbba], negative example:[aaa, abaa, abbabab, bbabab, aaab, baaa, bbabbb, bab]"
non isolated 'b',(a|(b*bb))*,(a*|bb)*,"positive example: [aaa, bb, abba, aabbaa, bbbb]  
negative example: [ab, ba, bba, aab, bbaaa]"
non isolated 'b',(a|(b*bb))*,(bb+a+bbb)*,"positive example:[bbaaabbbbbabbb, bbbbabbb, bbabbb, bbbbabbaaabbb, bbaaabbb, bbbaaabbbbbb]
negative example:[aaa, bbabbab, bb, bab, bbabbba, baa, bbabbbb, bbabbaa, abbab, bbabaa, bbaaab, bbabab, bbbba, bbabb, abbb, bbb, a, bbba]"
non isolated 'b',(a|(b*bb))*,(a)*,"positive example:[a, aa, aaa, aaaa, aaaaa],negative example:[b, ab, ba, bb, aab]"
non isolated 'b',(a|(b*bb))*,(abb)*,"positive example:[abb, abbabb, abbabbabb],negative example:[a, ab, b, ba, abba, ababab]"
non isolated 'b',(a|(b*bb))*,(abba)*,"positive example:[abba, abbaabbaabba, abbaabbaabbaabba]  
negative example:[a, b, ab, ba, aaa, abab, abbab, ababab, baa, bbba]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb)*(a?)*,"positive example:[bba, aa, , bbaaa, aabbbb, bbbb, a, bb, abbb, aaa, bbaa]  
negative example:[baaa, bbbbb, bbba, bbaaabb, bbaba, aabbb, babbab, bbab, ab, ba]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb+bbb)*(a?)*,"positive example:[aa, , bbbbba, aabbbbbbb, aabbbbbbbaaa, aabbbba, aaa, bbbbbbaa, abbba],  
negative example:[bab, aabbbbaaaba, baa, aab, aabbb, aabbbb, aabb, bbaa, bbab, bbbab, bbbbabb, bbbaa, bbbbbab, bbbbbbbab, bbbbbaaabb, bbbbbaba, abbabba, bbab]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb)*(a?)*,"positive example:[aaa, bb, aabbb, bba, abbba, bbbbaaa, abba]
negative example:[ba, abbbab, bbbbaa, aaaaab, bab, bbbbb, baa, aab]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb|abb)*(a?)*,"positive example:[aa, , bbabbbbbba, bbabb, bbabbaa, bbabbabbbb, aabbaaaa, abb, aabbb, bbabba, bbbba, bbbaaa, abbbba], negative example:[bbaaaab, bab, bbaaba, bbabbba, aab, bbabbbbbbaab, bbabbabab, bbaabb, bbabbabaa, aabaaabba, bbabbaab, bbab, aba, abbaa, bbabbbaaa, bbabaa, babbab]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb|abb|bba)*(a?)*,"positive example: [a, bbb, bb, abb, bba, aaabb, abbbba, bbaa, aabbbbaa, bbbbabb, aabb, abbabb, abbaa, bbbb, aabbbbaaa]

negative example: [bbbab, abbabaa, abbbbaaab, bbababbb, babab, bbaaab, babbb, bbaabba, aabbba, bbaabbaaa, baabbbb, abbabab, abbabbaa]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb)*(a)*(bbb)*(a?)*,"positive example:[aa, bbbb, bbaaa, bbba, bba, bbaaa, bbbaaa, bbbbba, bbabaa, aabbbbba], negative example:[baa, aab, bbabab, bbaabaa, bbabababa, bbbaab, bbabba, bbbabab, bbbaaabab, bbabbbbbab]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb+bbb)*(a)*(bb+bbb)*(a?)*,"positive example:[aa, , bbbbaa, aabbbbbbb, bbbbbabbbbba, aabbbbbbbabbbbbbbaaa, bbbbbaaabbbbb, bbbb, aabbaaa, bbaa]
negative example:[bab, baa, aab, bbbbbabbbbaa, aabbb, aabbbababb, aabb, bbab, bbbaaa, bbbbbabbb, bbbbbabbbb, bbbbbaba, bbbbbabbbbbbbab, bbbbbbbaaabbab, bbbbbabbbaa, bbbbbabbbbbab, bbbbbabbbbbaaabb, bbbbbbbaaabb, bbbbbabbbab, bbbbbabbbbbaba, bbbbbabab, bbbba, bbbbbab, bbbbbabaa, bbbbbabbaa, bbbbbabbbbab]"
